trial_id,pair_id,session_id,surface,desired_velocity_mps,condition,command_velocity_mps,risk_policy,state_log_path,valid,invalid_reason,timestamp,physical_run_status,notes
M23A_S2_marble_floor_V050_comp_R1,M23A_S2_marble_floor_V050_P1,m23b_k1_s2_executable_20260612_121605,S2_marble_floor,0.5,compensated,0.4518249304121061,na,data/compensation_experiments/m23b_k1/m23b_k1_s2_executable_20260612_121605/state_logs/M23A_S2_marble_floor_V050_comp_R1.csv,true,,2026-06-12T04:21:51.895012+00:00,executed,hotfix2 logger_rc=0; sdk_rc=0
M23A_S2_marble_floor_V050_dire_R2,M23A_S2_marble_floor_V050_P2,m23b_k1_s2_executable_20260612_121605,S2_marble_floor,0.5,direct,0.5,na,data/compensation_experiments/m23b_k1/m23b_k1_s2_executable_20260612_121605/state_logs/M23A_S2_marble_floor_V050_dire_R2.csv,true,,2026-06-12T04:22:12.215703+00:00,executed,hotfix2 logger_rc=0; sdk_rc=0
M23A_S2_marble_floor_V050_comp_R2,M23A_S2_marble_floor_V050_P2,m23b_k1_s2_executable_20260612_121605,S2_marble_floor,0.5,compensated,0.4518249304121061,na,data/compensation_experiments/m23b_k1/m23b_k1_s2_executable_20260612_121605/state_logs/M23A_S2_marble_floor_V050_comp_R2.csv,true,,2026-06-12T04:22:56.656856+00:00,executed,hotfix2 logger_rc=0; sdk_rc=0
M23A_S2_marble_floor_V050_dire_R3,M23A_S2_marble_floor_V050_P3,m23b_k1_s2_executable_20260612_121605,S2_marble_floor,0.5,direct,0.5,na,data/compensation_experiments/m23b_k1/m23b_k1_s2_executable_20260612_121605/state_logs/M23A_S2_marble_floor_V050_dire_R3.csv,true,,2026-06-12T04:23:15.454014+00:00,executed,hotfix2 logger_rc=0; sdk_rc=0
M23A_S2_marble_floor_V050_comp_R3,M23A_S2_marble_floor_V050_P3,m23b_k1_s2_executable_20260612_121605,S2_marble_floor,0.5,compensated,0.4518249304121061,na,data/compensation_experiments/m23b_k1/m23b_k1_s2_executable_20260612_121605/state_logs/M23A_S2_marble_floor_V050_comp_R3.csv,true,,2026-06-12T04:23:34.392199+00:00,executed,hotfix2 logger_rc=0; sdk_rc=0
M23A_S2_marble_floor_V055_dire_R1,M23A_S2_marble_floor_V055_P1,m23b_k1_s2_executable_20260612_121605,S2_marble_floor,0.55,direct,0.55,na,data/compensation_experiments/m23b_k1/m23b_k1_s2_executable_20260612_121605/state_logs/M23A_S2_marble_floor_V055_dire_R1.csv,true,,2026-06-12T04:24:18.064366+00:00,executed,hotfix2 logger_rc=0; sdk_rc=0
M23A_S2_marble_floor_V055_comp_R1,M23A_S2_marble_floor_V055_P1,m23b_k1_s2_executable_20260612_121605,S2_marble_floor,0.55,compensated,0.5029348230314161,na,data/compensation_experiments/m23b_k1/m23b_k1_s2_executable_20260612_121605/state_logs/M23A_S2_marble_floor_V055_comp_R1.csv,true,,2026-06-12T04:24:38.238725+00:00,executed,hotfix2 logger_rc=0; sdk_rc=0
M23A_S2_marble_floor_V055_dire_R2,M23A_S2_marble_floor_V055_P2,m23b_k1_s2_executable_20260612_121605,S2_marble_floor,0.55,direct,0.55,na,data/compensation_experiments/m23b_k1/m23b_k1_s2_executable_20260612_121605/state_logs/M23A_S2_marble_floor_V055_dire_R2.csv,true,,2026-06-12T04:24:58.337124+00:00,executed,hotfix2 logger_rc=0; sdk_rc=0
M23A_S2_marble_floor_V055_comp_R2,M23A_S2_marble_floor_V055_P2,m23b_k1_s2_executable_20260612_121605,S2_marble_floor,0.55,compensated,0.5029348230314161,na,data/compensation_experiments/m23b_k1/m23b_k1_s2_executable_20260612_121605/state_logs/M23A_S2_marble_floor_V055_comp_R2.csv,true,,2026-06-12T04:25:37.501455+00:00,executed,hotfix2 logger_rc=0; sdk_rc=0
M23A_S2_marble_floor_V055_dire_R3,M23A_S2_marble_floor_V055_P3,m23b_k1_s2_executable_20260612_121605,S2_marble_floor,0.55,direct,0.55,na,data/compensation_experiments/m23b_k1/m23b_k1_s2_executable_20260612_121605/state_logs/M23A_S2_marble_floor_V055_dire_R3.csv,true,,2026-06-12T04:25:56.907073+00:00,executed,hotfix2 logger_rc=0; sdk_rc=0
M23A_S2_marble_floor_V055_comp_R3,M23A_S2_marble_floor_V055_P3,m23b_k1_s2_executable_20260612_121605,S2_marble_floor,0.55,compensated,0.5029348230314161,na,data/compensation_experiments/m23b_k1/m23b_k1_s2_executable_20260612_121605/state_logs/M23A_S2_marble_floor_V055_comp_R3.csv,true,,2026-06-12T04:26:37.451447+00:00,executed,hotfix2 logger_rc=0; sdk_rc=0
