trial_id,refresh_group_id,condition,desired_velocity_mps,command_velocity_mps,timestamp_monotonic,t_rel,phase,odom_x,odom_y,odom_theta,imu_roll,imu_pitch,imu_yaw,source
M24A_S2_marble_floor_V040_R3,M24A_S2_marble_floor_V040,direct_refresh,0.400,0.400,1810.150995,0.776,idle,-24.421148,-15.036277,-1.688337,,,-1.688362,ros2_odometer_state
M24A_S2_marble_floor_V040_R3,M24A_S2_marble_floor_V040,direct_refresh,0.400,0.400,1810.151119,0.776,idle,-24.421148,-15.036277,-1.688337,,,-1.688362,ros2_odometer_state
M24A_S2_marble_floor_V040_R3,M24A_S2_marble_floor_V040,direct_refresh,0.400,0.400,1810.152654,0.778,idle,-24.421148,-15.036277,-1.688337,,,-1.688362,ros2_odometer_state
M24A_S2_marble_floor_V040_R3,M24A_S2_marble_floor_V040,direct_refresh,0.400,0.400,1810.156802,0.782,idle,-24.421148,-15.036277,-1.688337,,,-1.688362,ros2_odometer_state
M24A_S2_marble_floor_V040_R3,M24A_S2_marble_floor_V040,direct_refresh,0.400,0.400,1810.168423,0.794,idle,-24.421148,-15.036277,-1.688337,,,-1.688362,ros2_odometer_state
M24A_S2_marble_floor_V040_R3,M24A_S2_marble_floor_V040,direct_refresh,0.400,0.400,1810.171584,0.797,idle,-24.421148,-15.036277,-1.688337,,,-1.688362,ros2_odometer_state
M24A_S2_marble_floor_V040_R3,M24A_S2_marble_floor_V040,direct_refresh,0.400,0.400,1810.174593,0.800,idle,-24.421148,-15.036277,-1.688337,,,-1.688362,ros2_odometer_state
M24A_S2_marble_floor_V040_R3,M24A_S2_marble_floor_V040,direct_refresh,0.400,0.400,1810.177644,0.803,idle,-24.421148,-15.036277,-1.688337,,,-1.688362,ros2_odometer_state
M24A_S2_marble_floor_V040_R3,M24A_S2_marble_floor_V040,direct_refresh,0.400,0.400,1810.179416,0.805,idle,-24.421148,-15.036277,-1.688337,,,-1.688362,ros2_odometer_state
M24A_S2_marble_floor_V040_R3,M24A_S2_marble_floor_V040,direct_refresh,0.400,0.400,1810.188968,0.812,idle,-24.421148,-15.036277,-1.688337,,,-1.688356,ros2_odometer_state
M24A_S2_marble_floor_V040_R3,M24A_S2_marble_floor_V040,direct_refresh,0.400,0.400,1810.192325,0.818,idle,-24.421825,-15.036197,-1.688347,,,-1.688356,ros2_odometer_state
M24A_S2_marble_floor_V040_R3,M24A_S2_marble_floor_V040,direct_refresh,0.400,0.400,1810.195129,0.820,idle,-24.421825,-15.036197,-1.688347,,,-1.688293,ros2_odometer_state
M24A_S2_marble_floor_V040_R3,M24A_S2_marble_floor_V040,direct_refresh,0.400,0.400,1810.195955,0.821,idle,-24.429653,-15.035273,-1.688297,,,-1.688293,ros2_odometer_state
M24A_S2_marble_floor_V040_R3,M24A_S2_marble_floor_V040,direct_refresh,0.400,0.400,1810.197528,0.823,idle,-24.429653,-15.035273,-1.688297,,,-1.688298,ros2_odometer_state
M24A_S2_marble_floor_V040_R3,M24A_S2_marble_floor_V040,direct_refresh,0.400,0.400,1810.198767,0.824,idle,-24.429653,-15.035273,-1.688297,,,-1.688298,ros2_odometer_state
M24A_S2_marble_floor_V040_R3,M24A_S2_marble_floor_V040,direct_refresh,0.400,0.400,1810.200421,0.826,idle,-24.429653,-15.035273,-1.688297,,,-1.688284,ros2_odometer_state
M24A_S2_marble_floor_V040_R3,M24A_S2_marble_floor_V040,direct_refresh,0.400,0.400,1810.201260,0.827,idle,-24.429653,-15.035273,-1.688297,,,-1.688284,ros2_odometer_state
M24A_S2_marble_floor_V040_R3,M24A_S2_marble_floor_V040,direct_refresh,0.400,0.400,1810.203001,0.828,idle,-24.429653,-15.035273,-1.688297,,,-1.688283,ros2_odometer_state
M24A_S2_marble_floor_V040_R3,M24A_S2_marble_floor_V040,direct_refresh,0.400,0.400,1810.204161,0.829,idle,-24.429653,-15.035273,-1.688297,,,-1.688283,ros2_odometer_state
M24A_S2_marble_floor_V040_R3,M24A_S2_marble_floor_V040,direct_refresh,0.400,0.400,1810.206136,0.831,idle,-24.429653,-15.035273,-1.688297,,,-1.688280,ros2_odometer_state
M24A_S2_marble_floor_V040_R3,M24A_S2_marble_floor_V040,direct_refresh,0.400,0.400,1810.207339,0.833,idle,-24.429653,-15.035273,-1.688297,,,-1.688280,ros2_odometer_state
M24A_S2_marble_floor_V040_R3,M24A_S2_marble_floor_V040,direct_refresh,0.400,0.400,1810.209271,0.835,idle,-24.429653,-15.035273,-1.688297,,,-1.688285,ros2_odometer_state
M24A_S2_marble_floor_V040_R3,M24A_S2_marble_floor_V040,direct_refresh,0.400,0.400,1810.210359,0.836,idle,-24.429653,-15.035273,-1.688297,,,-1.688285,ros2_odometer_state
M24A_S2_marble_floor_V040_R3,M24A_S2_marble_floor_V040,direct_refresh,0.400,0.400,1810.216950,0.842,idle,-24.429653,-15.035273,-1.688297,,,-1.688282,ros2_odometer_state
M24A_S2_marble_floor_V040_R3,M24A_S2_marble_floor_V040,direct_refresh,0.400,0.400,1810.220937,0.846,idle,-24.430302,-15.035195,-1.688282,,,-1.688282,ros2_odometer_state
M24A_S2_marble_floor_V040_R3,M24A_S2_marble_floor_V040,direct_refresh,0.400,0.400,1810.226285,0.851,idle,-24.430302,-15.035195,-1.688282,,,-1.688274,ros2_odometer_state
M24A_S2_marble_floor_V040_R3,M24A_S2_marble_floor_V040,direct_refresh,0.400,0.400,1810.229084,0.854,idle,-24.430954,-15.035118,-1.688275,,,-1.688274,ros2_odometer_state
M24A_S2_marble_floor_V040_R3,M24A_S2_marble_floor_V040,direct_refresh,0.400,0.400,1810.232398,0.858,idle,-24.430954,-15.035118,-1.688275,,,-1.688269,ros2_odometer_state
M24A_S2_marble_floor_V040_R3,M24A_S2_marble_floor_V040,direct_refresh,0.400,0.400,1810.232981,0.858,idle,-24.430954,-15.035118,-1.688275,,,-1.688269,ros2_odometer_state
M24A_S2_marble_floor_V040_R3,M24A_S2_marble_floor_V040,direct_refresh,0.400,0.400,1810.233662,0.859,idle,-24.430954,-15.035118,-1.688275,,,-1.688268,ros2_odometer_state
M24A_S2_marble_floor_V040_R3,M24A_S2_marble_floor_V040,direct_refresh,0.400,0.400,1810.234121,0.859,idle,-24.430954,-15.035118,-1.688275,,,-1.688268,ros2_odometer_state
M24A_S2_marble_floor_V040_R3,M24A_S2_marble_floor_V040,direct_refresh,0.400,0.400,1810.235568,0.861,idle,-24.430954,-15.035118,-1.688275,,,-1.688253,ros2_odometer_state
M24A_S2_marble_floor_V040_R3,M24A_S2_marble_floor_V040,direct_refresh,0.400,0.400,1810.239517,0.865,idle,-24.430954,-15.035118,-1.688275,,,-1.688253,ros2_odometer_state
M24A_S2_marble_floor_V040_R3,M24A_S2_marble_floor_V040,direct_refresh,0.400,0.400,1810.245189,0.870,idle,-24.430954,-15.035118,-1.688275,,,-1.688257,ros2_odometer_state
M24A_S2_marble_floor_V040_R3,M24A_S2_marble_floor_V040,direct_refresh,0.400,0.400,1810.249542,0.875,idle,-24.430954,-15.035118,-1.688275,,,-1.688257,ros2_odometer_state
M24A_S2_marble_floor_V040_R3,M24A_S2_marble_floor_V040,direct_refresh,0.400,0.400,1810.255831,0.881,idle,-24.430954,-15.035118,-1.688275,,,-1.688263,ros2_odometer_state
M24A_S2_marble_floor_V040_R3,M24A_S2_marble_floor_V040,direct_refresh,0.400,0.400,1810.258416,0.884,idle,-24.431604,-15.035042,-1.688266,,,-1.688263,ros2_odometer_state
M24A_S2_marble_floor_V040_R3,M24A_S2_marble_floor_V040,direct_refresh,0.400,0.400,1810.259226,0.885,idle,-24.431604,-15.035042,-1.688266,,,-1.688269,ros2_odometer_state
M24A_S2_marble_floor_V040_R3,M24A_S2_marble_floor_V040,direct_refresh,0.400,0.400,1810.259617,0.885,idle,-24.431604,-15.035042,-1.688266,,,-1.688269,ros2_odometer_state
M24A_S2_marble_floor_V040_R3,M24A_S2_marble_floor_V040,direct_refresh,0.400,0.400,1810.260240,0.886,idle,-24.431604,-15.035042,-1.688266,,,-1.688266,ros2_odometer_state
M24A_S2_marble_floor_V040_R3,M24A_S2_marble_floor_V040,direct_refresh,0.400,0.400,1810.260546,0.886,idle,-24.431604,-15.035042,-1.688266,,,-1.688266,ros2_odometer_state
M24A_S2_marble_floor_V040_R3,M24A_S2_marble_floor_V040,direct_refresh,0.400,0.400,1810.261222,0.887,idle,-24.431604,-15.035042,-1.688266,,,-1.688266,ros2_odometer_state
M24A_S2_marble_floor_V040_R3,M24A_S2_marble_floor_V040,direct_refresh,0.400,0.400,1810.261547,0.887,idle,-24.431604,-15.035042,-1.688266,,,-1.688266,ros2_odometer_state
M24A_S2_marble_floor_V040_R3,M24A_S2_marble_floor_V040,direct_refresh,0.400,0.400,1810.262126,0.887,idle,-24.431604,-15.035042,-1.688266,,,-1.688265,ros2_odometer_state
M24A_S2_marble_floor_V040_R3,M24A_S2_marble_floor_V040,direct_refresh,0.400,0.400,1810.262412,0.888,idle,-24.431604,-15.035042,-1.688266,,,-1.688265,ros2_odometer_state
M24A_S2_marble_floor_V040_R3,M24A_S2_marble_floor_V040,direct_refresh,0.400,0.400,1810.263103,0.888,idle,-24.431604,-15.035042,-1.688266,,,-1.688261,ros2_odometer_state
M24A_S2_marble_floor_V040_R3,M24A_S2_marble_floor_V040,direct_refresh,0.400,0.400,1810.263411,0.889,idle,-24.431604,-15.035042,-1.688266,,,-1.688261,ros2_odometer_state
M24A_S2_marble_floor_V040_R3,M24A_S2_marble_floor_V040,direct_refresh,0.400,0.400,1810.263981,0.889,idle,-24.431604,-15.035042,-1.688266,,,-1.688265,ros2_odometer_state
M24A_S2_marble_floor_V040_R3,M24A_S2_marble_floor_V040,direct_refresh,0.400,0.400,1810.264366,0.890,idle,-24.432262,-15.034964,-1.688265,,,-1.688265,ros2_odometer_state
M24A_S2_marble_floor_V040_R3,M24A_S2_marble_floor_V040,direct_refresh,0.400,0.400,1810.265165,0.890,idle,-24.432262,-15.034964,-1.688265,,,-1.688268,ros2_odometer_state
