trial_id,refresh_group_id,condition,desired_velocity_mps,command_velocity_mps,timestamp_monotonic,t_rel,phase,odom_x,odom_y,odom_theta,imu_roll,imu_pitch,imu_yaw,source
M24A_S2_marble_floor_V060_R1,M24A_S2_marble_floor_V060,direct_refresh,0.600,0.600,2262.335003,0.624,idle,-30.652081,-6.530811,-2.768366,,,-2.768350,ros2_odometer_state
M24A_S2_marble_floor_V060_R1,M24A_S2_marble_floor_V060,direct_refresh,0.600,0.600,2262.335488,0.624,idle,-30.652081,-6.530811,-2.768366,,,-2.768350,ros2_odometer_state
M24A_S2_marble_floor_V060_R1,M24A_S2_marble_floor_V060,direct_refresh,0.600,0.600,2262.336625,0.625,idle,-30.652081,-6.530811,-2.768366,,,-2.768349,ros2_odometer_state
M24A_S2_marble_floor_V060_R1,M24A_S2_marble_floor_V060,direct_refresh,0.600,0.600,2262.337020,0.626,idle,-30.652332,-6.530171,-2.768355,,,-2.768349,ros2_odometer_state
M24A_S2_marble_floor_V060_R1,M24A_S2_marble_floor_V060,direct_refresh,0.600,0.600,2262.337783,0.626,idle,-30.652332,-6.530171,-2.768355,,,-2.768351,ros2_odometer_state
M24A_S2_marble_floor_V060_R1,M24A_S2_marble_floor_V060,direct_refresh,0.600,0.600,2262.338124,0.627,idle,-30.652332,-6.530171,-2.768355,,,-2.768351,ros2_odometer_state
M24A_S2_marble_floor_V060_R1,M24A_S2_marble_floor_V060,direct_refresh,0.600,0.600,2262.338750,0.627,idle,-30.652332,-6.530171,-2.768355,,,-2.768354,ros2_odometer_state
M24A_S2_marble_floor_V060_R1,M24A_S2_marble_floor_V060,direct_refresh,0.600,0.600,2262.339041,0.628,idle,-30.652332,-6.530171,-2.768355,,,-2.768354,ros2_odometer_state
M24A_S2_marble_floor_V060_R1,M24A_S2_marble_floor_V060,direct_refresh,0.600,0.600,2262.339825,0.628,idle,-30.652332,-6.530171,-2.768355,,,-2.768356,ros2_odometer_state
M24A_S2_marble_floor_V060_R1,M24A_S2_marble_floor_V060,direct_refresh,0.600,0.600,2262.340298,0.629,idle,-30.652332,-6.530171,-2.768355,,,-2.768356,ros2_odometer_state
M24A_S2_marble_floor_V060_R1,M24A_S2_marble_floor_V060,direct_refresh,0.600,0.600,2262.340978,0.630,idle,-30.652332,-6.530171,-2.768355,,,-2.768357,ros2_odometer_state
