trial_id,refresh_group_id,condition,desired_velocity_mps,command_velocity_mps,timestamp_monotonic,t_rel,phase,odom_x,odom_y,odom_theta,imu_roll,imu_pitch,imu_yaw,source
M24A_S2_marble_floor_V040_R1,M24A_S2_marble_floor_V040,direct_refresh,0.400,0.400,1776.862007,0.980,idle,-22.990528,-9.935610,-1.443662,,,-1.443660,ros2_odometer_state
M24A_S2_marble_floor_V040_R1,M24A_S2_marble_floor_V040,direct_refresh,0.400,0.400,1776.869753,0.988,idle,-22.990528,-9.935610,-1.443662,,,-1.443660,ros2_odometer_state
M24A_S2_marble_floor_V040_R1,M24A_S2_marble_floor_V040,direct_refresh,0.400,0.400,1776.877637,0.996,idle,-22.990528,-9.935610,-1.443662,,,-1.443660,ros2_odometer_state
M24A_S2_marble_floor_V040_R1,M24A_S2_marble_floor_V040,direct_refresh,0.400,0.400,1776.878413,0.997,idle,-22.990528,-9.935610,-1.443662,,,-1.443676,ros2_odometer_state
M24A_S2_marble_floor_V040_R1,M24A_S2_marble_floor_V040,direct_refresh,0.400,0.400,1776.879305,0.997,idle,-22.990528,-9.935610,-1.443662,,,-1.443676,ros2_odometer_state
M24A_S2_marble_floor_V040_R1,M24A_S2_marble_floor_V040,direct_refresh,0.400,0.400,1776.880152,0.998,idle,-22.990528,-9.935610,-1.443662,,,-1.443676,ros2_odometer_state
M24A_S2_marble_floor_V040_R1,M24A_S2_marble_floor_V040,direct_refresh,0.400,0.400,1776.880503,0.999,idle,-22.990528,-9.935610,-1.443662,,,-1.443676,ros2_odometer_state
M24A_S2_marble_floor_V040_R1,M24A_S2_marble_floor_V040,direct_refresh,0.400,0.400,1776.881696,1.000,idle,-22.990528,-9.935610,-1.443662,,,-1.443674,ros2_odometer_state
M24A_S2_marble_floor_V040_R1,M24A_S2_marble_floor_V040,direct_refresh,0.400,0.400,1776.882030,1.000,idle,-22.990528,-9.935610,-1.443662,,,-1.443674,ros2_odometer_state
M24A_S2_marble_floor_V040_R1,M24A_S2_marble_floor_V040,direct_refresh,0.400,0.400,1776.883107,1.001,idle,-22.990528,-9.935610,-1.443662,,,-1.443674,ros2_odometer_state
M24A_S2_marble_floor_V040_R1,M24A_S2_marble_floor_V040,direct_refresh,0.400,0.400,1776.883571,1.002,idle,-22.991247,-9.935702,-1.443674,,,-1.443674,ros2_odometer_state
M24A_S2_marble_floor_V040_R1,M24A_S2_marble_floor_V040,direct_refresh,0.400,0.400,1776.884275,1.002,idle,-22.991247,-9.935702,-1.443674,,,-1.443676,ros2_odometer_state
M24A_S2_marble_floor_V040_R1,M24A_S2_marble_floor_V040,direct_refresh,0.400,0.400,1776.884968,1.003,idle,-22.991247,-9.935702,-1.443674,,,-1.443676,ros2_odometer_state
M24A_S2_marble_floor_V040_R1,M24A_S2_marble_floor_V040,direct_refresh,0.400,0.400,1776.885735,1.004,idle,-22.991247,-9.935702,-1.443674,,,-1.443682,ros2_odometer_state
M24A_S2_marble_floor_V040_R1,M24A_S2_marble_floor_V040,direct_refresh,0.400,0.400,1776.886048,1.004,idle,-22.991247,-9.935702,-1.443674,,,-1.443682,ros2_odometer_state
M24A_S2_marble_floor_V040_R1,M24A_S2_marble_floor_V040,direct_refresh,0.400,0.400,1776.886758,1.005,idle,-22.991247,-9.935702,-1.443674,,,-1.443682,ros2_odometer_state
M24A_S2_marble_floor_V040_R1,M24A_S2_marble_floor_V040,direct_refresh,0.400,0.400,1776.887210,1.005,idle,-22.991247,-9.935702,-1.443674,,,-1.443682,ros2_odometer_state
M24A_S2_marble_floor_V040_R1,M24A_S2_marble_floor_V040,direct_refresh,0.400,0.400,1776.888117,1.006,idle,-22.991247,-9.935702,-1.443674,,,-1.443677,ros2_odometer_state
M24A_S2_marble_floor_V040_R1,M24A_S2_marble_floor_V040,direct_refresh,0.400,0.400,1776.888471,1.007,idle,-22.991247,-9.935702,-1.443674,,,-1.443677,ros2_odometer_state
M24A_S2_marble_floor_V040_R1,M24A_S2_marble_floor_V040,direct_refresh,0.400,0.400,1776.889618,1.008,idle,-22.991247,-9.935702,-1.443674,,,-1.443658,ros2_odometer_state
M24A_S2_marble_floor_V040_R1,M24A_S2_marble_floor_V040,direct_refresh,0.400,0.400,1776.889961,1.008,idle,-22.991247,-9.935702,-1.443674,,,-1.443658,ros2_odometer_state
M24A_S2_marble_floor_V040_R1,M24A_S2_marble_floor_V040,direct_refresh,0.400,0.400,1776.890979,1.009,idle,-22.991247,-9.935702,-1.443674,,,-1.443649,ros2_odometer_state
M24A_S2_marble_floor_V040_R1,M24A_S2_marble_floor_V040,direct_refresh,0.400,0.400,1776.891472,1.010,idle,-22.994106,-9.936069,-1.443675,,,-1.443649,ros2_odometer_state
M24A_S2_marble_floor_V040_R1,M24A_S2_marble_floor_V040,direct_refresh,0.400,0.400,1776.892078,1.010,idle,-22.994106,-9.936069,-1.443675,,,-1.443677,ros2_odometer_state
M24A_S2_marble_floor_V040_R1,M24A_S2_marble_floor_V040,direct_refresh,0.400,0.400,1776.892405,1.010,idle,-22.994106,-9.936069,-1.443675,,,-1.443677,ros2_odometer_state
M24A_S2_marble_floor_V040_R1,M24A_S2_marble_floor_V040,direct_refresh,0.400,0.400,1776.893813,1.012,idle,-22.994106,-9.936069,-1.443675,,,-1.443683,ros2_odometer_state
M24A_S2_marble_floor_V040_R1,M24A_S2_marble_floor_V040,direct_refresh,0.400,0.400,1776.894150,1.012,idle,-22.994106,-9.936069,-1.443675,,,-1.443683,ros2_odometer_state
M24A_S2_marble_floor_V040_R1,M24A_S2_marble_floor_V040,direct_refresh,0.400,0.400,1776.895200,1.013,idle,-22.994106,-9.936069,-1.443675,,,-1.443690,ros2_odometer_state
M24A_S2_marble_floor_V040_R1,M24A_S2_marble_floor_V040,direct_refresh,0.400,0.400,1776.895633,1.014,idle,-22.994106,-9.936069,-1.443675,,,-1.443690,ros2_odometer_state
M24A_S2_marble_floor_V040_R1,M24A_S2_marble_floor_V040,direct_refresh,0.400,0.400,1776.896219,1.014,idle,-22.994106,-9.936069,-1.443675,,,-1.443694,ros2_odometer_state
M24A_S2_marble_floor_V040_R1,M24A_S2_marble_floor_V040,direct_refresh,0.400,0.400,1776.896582,1.015,idle,-22.994106,-9.936069,-1.443675,,,-1.443694,ros2_odometer_state
M24A_S2_marble_floor_V040_R1,M24A_S2_marble_floor_V040,direct_refresh,0.400,0.400,1776.897665,1.016,idle,-22.994106,-9.936069,-1.443675,,,-1.443701,ros2_odometer_state
M24A_S2_marble_floor_V040_R1,M24A_S2_marble_floor_V040,direct_refresh,0.400,0.400,1776.897988,1.016,idle,-22.994825,-9.936160,-1.443701,,,-1.443701,ros2_odometer_state
M24A_S2_marble_floor_V040_R1,M24A_S2_marble_floor_V040,direct_refresh,0.400,0.400,1776.899146,1.017,idle,-22.994825,-9.936160,-1.443701,,,-1.443708,ros2_odometer_state
M24A_S2_marble_floor_V040_R1,M24A_S2_marble_floor_V040,direct_refresh,0.400,0.400,1776.899673,1.018,idle,-22.994825,-9.936160,-1.443701,,,-1.443708,ros2_odometer_state
M24A_S2_marble_floor_V040_R1,M24A_S2_marble_floor_V040,direct_refresh,0.400,0.400,1776.900313,1.018,idle,-22.994825,-9.936160,-1.443701,,,-1.443711,ros2_odometer_state
M24A_S2_marble_floor_V040_R1,M24A_S2_marble_floor_V040,direct_refresh,0.400,0.400,1776.901035,1.019,idle,-22.994825,-9.936160,-1.443701,,,-1.443711,ros2_odometer_state
M24A_S2_marble_floor_V040_R1,M24A_S2_marble_floor_V040,direct_refresh,0.400,0.400,1776.901742,1.020,idle,-22.994825,-9.936160,-1.443701,,,-1.443713,ros2_odometer_state
M24A_S2_marble_floor_V040_R1,M24A_S2_marble_floor_V040,direct_refresh,0.400,0.400,1776.902058,1.020,idle,-22.994825,-9.936160,-1.443701,,,-1.443713,ros2_odometer_state
M24A_S2_marble_floor_V040_R1,M24A_S2_marble_floor_V040,direct_refresh,0.400,0.400,1776.903075,1.021,idle,-22.994825,-9.936160,-1.443701,,,-1.443714,ros2_odometer_state
M24A_S2_marble_floor_V040_R1,M24A_S2_marble_floor_V040,direct_refresh,0.400,0.400,1776.903523,1.022,idle,-22.994825,-9.936160,-1.443701,,,-1.443714,ros2_odometer_state
M24A_S2_marble_floor_V040_R1,M24A_S2_marble_floor_V040,direct_refresh,0.400,0.400,1776.904133,1.022,idle,-22.994825,-9.936160,-1.443701,,,-1.443714,ros2_odometer_state
M24A_S2_marble_floor_V040_R1,M24A_S2_marble_floor_V040,direct_refresh,0.400,0.400,1776.904511,1.023,idle,-22.994825,-9.936160,-1.443701,,,-1.443714,ros2_odometer_state
M24A_S2_marble_floor_V040_R1,M24A_S2_marble_floor_V040,direct_refresh,0.400,0.400,1776.906316,1.024,idle,-22.994825,-9.936160,-1.443701,,,-1.443718,ros2_odometer_state
M24A_S2_marble_floor_V040_R1,M24A_S2_marble_floor_V040,direct_refresh,0.400,0.400,1776.906891,1.025,idle,-22.994825,-9.936160,-1.443701,,,-1.443718,ros2_odometer_state
M24A_S2_marble_floor_V040_R1,M24A_S2_marble_floor_V040,direct_refresh,0.400,0.400,1776.907919,1.026,idle,-22.994825,-9.936160,-1.443701,,,-1.443718,ros2_odometer_state
M24A_S2_marble_floor_V040_R1,M24A_S2_marble_floor_V040,direct_refresh,0.400,0.400,1776.908348,1.026,idle,-22.994825,-9.936160,-1.443701,,,-1.443718,ros2_odometer_state
M24A_S2_marble_floor_V040_R1,M24A_S2_marble_floor_V040,direct_refresh,0.400,0.400,1776.909412,1.028,idle,-22.994825,-9.936160,-1.443701,,,-1.443717,ros2_odometer_state
M24A_S2_marble_floor_V040_R1,M24A_S2_marble_floor_V040,direct_refresh,0.400,0.400,1776.909793,1.028,idle,-22.994825,-9.936160,-1.443701,,,-1.443717,ros2_odometer_state
M24A_S2_marble_floor_V040_R1,M24A_S2_marble_floor_V040,direct_refresh,0.400,0.400,1776.910378,1.028,idle,-22.994825,-9.936160,-1.443701,,,-1.443714,ros2_odometer_state
M24A_S2_marble_floor_V040_R1,M24A_S2_marble_floor_V040,direct_refresh,0.400,0.400,1776.911086,1.029,idle,-22.994825,-9.936160,-1.443701,,,-1.443714,ros2_odometer_state
M24A_S2_marble_floor_V040_R1,M24A_S2_marble_floor_V040,direct_refresh,0.400,0.400,1776.911802,1.030,idle,-22.994825,-9.936160,-1.443701,,,-1.443719,ros2_odometer_state
M24A_S2_marble_floor_V040_R1,M24A_S2_marble_floor_V040,direct_refresh,0.400,0.400,1776.912144,1.030,idle,-22.995564,-9.936255,-1.443719,,,-1.443719,ros2_odometer_state
M24A_S2_marble_floor_V040_R1,M24A_S2_marble_floor_V040,direct_refresh,0.400,0.400,1776.913134,1.031,idle,-22.995564,-9.936255,-1.443719,,,-1.443718,ros2_odometer_state
M24A_S2_marble_floor_V040_R1,M24A_S2_marble_floor_V040,direct_refresh,0.400,0.400,1776.913584,1.032,idle,-22.995564,-9.936255,-1.443719,,,-1.443718,ros2_odometer_state
