trial_id,refresh_group_id,condition,desired_velocity_mps,command_velocity_mps,timestamp_monotonic,t_rel,phase,odom_x,odom_y,odom_theta,imu_roll,imu_pitch,imu_yaw,source
M24A_S2_marble_floor_V060_R4,M24A_S2_marble_floor_V060,direct_refresh,0.600,0.600,2358.751042,0.616,idle,-26.727833,-9.210628,-0.330934,,,-0.330924,ros2_odometer_state
M24A_S2_marble_floor_V060_R4,M24A_S2_marble_floor_V060,direct_refresh,0.600,0.600,2358.759953,0.625,idle,-26.727833,-9.210628,-0.330934,,,-0.330932,ros2_odometer_state
M24A_S2_marble_floor_V060_R4,M24A_S2_marble_floor_V060,direct_refresh,0.600,0.600,2358.784248,0.649,idle,-26.727833,-9.210628,-0.330934,,,-0.330932,ros2_odometer_state
M24A_S2_marble_floor_V060_R4,M24A_S2_marble_floor_V060,direct_refresh,0.600,0.600,2358.817773,0.683,idle,-26.727833,-9.210628,-0.330934,,,-0.330931,ros2_odometer_state
M24A_S2_marble_floor_V060_R4,M24A_S2_marble_floor_V060,direct_refresh,0.600,0.600,2358.825706,0.691,idle,-26.727833,-9.210628,-0.330934,,,-0.330931,ros2_odometer_state
M24A_S2_marble_floor_V060_R4,M24A_S2_marble_floor_V060,direct_refresh,0.600,0.600,2358.832068,0.697,idle,-26.727833,-9.210628,-0.330934,,,-0.330931,ros2_odometer_state
M24A_S2_marble_floor_V060_R4,M24A_S2_marble_floor_V060,direct_refresh,0.600,0.600,2358.842225,0.705,idle,-26.727833,-9.210628,-0.330934,,,-0.330908,ros2_odometer_state
M24A_S2_marble_floor_V060_R4,M24A_S2_marble_floor_V060,direct_refresh,0.600,0.600,2358.849955,0.715,idle,-26.729679,-9.215999,-0.330828,,,-0.330908,ros2_odometer_state
M24A_S2_marble_floor_V060_R4,M24A_S2_marble_floor_V060,direct_refresh,0.600,0.600,2358.853230,0.718,idle,-26.729679,-9.215999,-0.330828,,,-0.330829,ros2_odometer_state
M24A_S2_marble_floor_V060_R4,M24A_S2_marble_floor_V060,direct_refresh,0.600,0.600,2358.854694,0.720,idle,-26.729679,-9.215999,-0.330828,,,-0.330829,ros2_odometer_state
M24A_S2_marble_floor_V060_R4,M24A_S2_marble_floor_V060,direct_refresh,0.600,0.600,2358.858063,0.723,idle,-26.729679,-9.215999,-0.330828,,,-0.330823,ros2_odometer_state
M24A_S2_marble_floor_V060_R4,M24A_S2_marble_floor_V060,direct_refresh,0.600,0.600,2358.859472,0.724,idle,-26.729679,-9.215999,-0.330828,,,-0.330823,ros2_odometer_state
M24A_S2_marble_floor_V060_R4,M24A_S2_marble_floor_V060,direct_refresh,0.600,0.600,2358.860681,0.725,idle,-26.729679,-9.215999,-0.330828,,,-0.330829,ros2_odometer_state
M24A_S2_marble_floor_V060_R4,M24A_S2_marble_floor_V060,direct_refresh,0.600,0.600,2358.861923,0.727,idle,-26.729881,-9.216587,-0.330829,,,-0.330829,ros2_odometer_state
M24A_S2_marble_floor_V060_R4,M24A_S2_marble_floor_V060,direct_refresh,0.600,0.600,2358.863406,0.728,idle,-26.729881,-9.216587,-0.330829,,,-0.330826,ros2_odometer_state
M24A_S2_marble_floor_V060_R4,M24A_S2_marble_floor_V060,direct_refresh,0.600,0.600,2358.864273,0.729,idle,-26.729881,-9.216587,-0.330829,,,-0.330826,ros2_odometer_state
M24A_S2_marble_floor_V060_R4,M24A_S2_marble_floor_V060,direct_refresh,0.600,0.600,2358.865857,0.731,idle,-26.729881,-9.216587,-0.330829,,,-0.330828,ros2_odometer_state
M24A_S2_marble_floor_V060_R4,M24A_S2_marble_floor_V060,direct_refresh,0.600,0.600,2358.866451,0.731,idle,-26.729881,-9.216587,-0.330829,,,-0.330828,ros2_odometer_state
M24A_S2_marble_floor_V060_R4,M24A_S2_marble_floor_V060,direct_refresh,0.600,0.600,2358.868216,0.733,idle,-26.729881,-9.216587,-0.330829,,,-0.330834,ros2_odometer_state
M24A_S2_marble_floor_V060_R4,M24A_S2_marble_floor_V060,direct_refresh,0.600,0.600,2358.868852,0.734,idle,-26.729881,-9.216587,-0.330829,,,-0.330834,ros2_odometer_state
M24A_S2_marble_floor_V060_R4,M24A_S2_marble_floor_V060,direct_refresh,0.600,0.600,2358.870545,0.735,idle,-26.729881,-9.216587,-0.330829,,,-0.330834,ros2_odometer_state
M24A_S2_marble_floor_V060_R4,M24A_S2_marble_floor_V060,direct_refresh,0.600,0.600,2358.871522,0.736,idle,-26.729881,-9.216587,-0.330829,,,-0.330834,ros2_odometer_state
M24A_S2_marble_floor_V060_R4,M24A_S2_marble_floor_V060,direct_refresh,0.600,0.600,2358.872255,0.737,idle,-26.729881,-9.216587,-0.330829,,,-0.330833,ros2_odometer_state
M24A_S2_marble_floor_V060_R4,M24A_S2_marble_floor_V060,direct_refresh,0.600,0.600,2358.873039,0.738,idle,-26.729881,-9.216587,-0.330829,,,-0.330833,ros2_odometer_state
M24A_S2_marble_floor_V060_R4,M24A_S2_marble_floor_V060,direct_refresh,0.600,0.600,2358.874108,0.739,idle,-26.729881,-9.216587,-0.330829,,,-0.330827,ros2_odometer_state
M24A_S2_marble_floor_V060_R4,M24A_S2_marble_floor_V060,direct_refresh,0.600,0.600,2358.874471,0.739,idle,-26.729881,-9.216587,-0.330829,,,-0.330827,ros2_odometer_state
M24A_S2_marble_floor_V060_R4,M24A_S2_marble_floor_V060,direct_refresh,0.600,0.600,2358.875601,0.740,idle,-26.729881,-9.216587,-0.330829,,,-0.330827,ros2_odometer_state
M24A_S2_marble_floor_V060_R4,M24A_S2_marble_floor_V060,direct_refresh,0.600,0.600,2358.875957,0.741,idle,-26.729881,-9.216587,-0.330829,,,-0.330827,ros2_odometer_state
M24A_S2_marble_floor_V060_R4,M24A_S2_marble_floor_V060,direct_refresh,0.600,0.600,2358.876620,0.741,idle,-26.729881,-9.216587,-0.330829,,,-0.330825,ros2_odometer_state
M24A_S2_marble_floor_V060_R4,M24A_S2_marble_floor_V060,direct_refresh,0.600,0.600,2358.876956,0.742,idle,-26.729881,-9.216587,-0.330829,,,-0.330825,ros2_odometer_state
M24A_S2_marble_floor_V060_R4,M24A_S2_marble_floor_V060,direct_refresh,0.600,0.600,2358.877878,0.743,idle,-26.729881,-9.216587,-0.330829,,,-0.330822,ros2_odometer_state
M24A_S2_marble_floor_V060_R4,M24A_S2_marble_floor_V060,direct_refresh,0.600,0.600,2358.878207,0.743,idle,-26.729881,-9.216587,-0.330829,,,-0.330822,ros2_odometer_state
M24A_S2_marble_floor_V060_R4,M24A_S2_marble_floor_V060,direct_refresh,0.600,0.600,2358.878802,0.744,idle,-26.729881,-9.216587,-0.330829,,,-0.330819,ros2_odometer_state
M24A_S2_marble_floor_V060_R4,M24A_S2_marble_floor_V060,direct_refresh,0.600,0.600,2358.879420,0.744,idle,-26.730089,-9.217194,-0.330822,,,-0.330819,ros2_odometer_state
M24A_S2_marble_floor_V060_R4,M24A_S2_marble_floor_V060,direct_refresh,0.600,0.600,2358.880134,0.745,idle,-26.730089,-9.217194,-0.330822,,,-0.330823,ros2_odometer_state
M24A_S2_marble_floor_V060_R4,M24A_S2_marble_floor_V060,direct_refresh,0.600,0.600,2358.880448,0.745,idle,-26.730089,-9.217194,-0.330822,,,-0.330823,ros2_odometer_state
M24A_S2_marble_floor_V060_R4,M24A_S2_marble_floor_V060,direct_refresh,0.600,0.600,2358.881355,0.746,idle,-26.730089,-9.217194,-0.330822,,,-0.330821,ros2_odometer_state
M24A_S2_marble_floor_V060_R4,M24A_S2_marble_floor_V060,direct_refresh,0.600,0.600,2358.881714,0.747,idle,-26.730089,-9.217194,-0.330822,,,-0.330821,ros2_odometer_state
M24A_S2_marble_floor_V060_R4,M24A_S2_marble_floor_V060,direct_refresh,0.600,0.600,2358.882320,0.747,idle,-26.730089,-9.217194,-0.330822,,,-0.330806,ros2_odometer_state
M24A_S2_marble_floor_V060_R4,M24A_S2_marble_floor_V060,direct_refresh,0.600,0.600,2358.882632,0.748,idle,-26.730089,-9.217194,-0.330822,,,-0.330806,ros2_odometer_state
M24A_S2_marble_floor_V060_R4,M24A_S2_marble_floor_V060,direct_refresh,0.600,0.600,2358.883646,0.749,idle,-26.730089,-9.217194,-0.330822,,,-0.330799,ros2_odometer_state
M24A_S2_marble_floor_V060_R4,M24A_S2_marble_floor_V060,direct_refresh,0.600,0.600,2358.884231,0.749,idle,-26.730089,-9.217194,-0.330822,,,-0.330799,ros2_odometer_state
M24A_S2_marble_floor_V060_R4,M24A_S2_marble_floor_V060,direct_refresh,0.600,0.600,2358.885181,0.750,idle,-26.730089,-9.217194,-0.330822,,,-0.330800,ros2_odometer_state
M24A_S2_marble_floor_V060_R4,M24A_S2_marble_floor_V060,direct_refresh,0.600,0.600,2358.885593,0.750,idle,-26.730089,-9.217194,-0.330822,,,-0.330800,ros2_odometer_state
M24A_S2_marble_floor_V060_R4,M24A_S2_marble_floor_V060,direct_refresh,0.600,0.600,2358.886199,0.751,idle,-26.730089,-9.217194,-0.330822,,,-0.330793,ros2_odometer_state
M24A_S2_marble_floor_V060_R4,M24A_S2_marble_floor_V060,direct_refresh,0.600,0.600,2358.886501,0.751,idle,-26.730089,-9.217194,-0.330822,,,-0.330793,ros2_odometer_state
M24A_S2_marble_floor_V060_R4,M24A_S2_marble_floor_V060,direct_refresh,0.600,0.600,2358.887423,0.752,idle,-26.730089,-9.217194,-0.330822,,,-0.330789,ros2_odometer_state
M24A_S2_marble_floor_V060_R4,M24A_S2_marble_floor_V060,direct_refresh,0.600,0.600,2358.887797,0.753,idle,-26.730089,-9.217194,-0.330822,,,-0.330789,ros2_odometer_state
M24A_S2_marble_floor_V060_R4,M24A_S2_marble_floor_V060,direct_refresh,0.600,0.600,2358.888417,0.753,idle,-26.730089,-9.217194,-0.330822,,,-0.330789,ros2_odometer_state
M24A_S2_marble_floor_V060_R4,M24A_S2_marble_floor_V060,direct_refresh,0.600,0.600,2358.888733,0.754,idle,-26.730089,-9.217194,-0.330822,,,-0.330789,ros2_odometer_state
M24A_S2_marble_floor_V060_R4,M24A_S2_marble_floor_V060,direct_refresh,0.600,0.600,2358.889709,0.755,idle,-26.730089,-9.217194,-0.330822,,,-0.330787,ros2_odometer_state
M24A_S2_marble_floor_V060_R4,M24A_S2_marble_floor_V060,direct_refresh,0.600,0.600,2358.890081,0.755,idle,-26.730089,-9.217194,-0.330822,,,-0.330787,ros2_odometer_state
M24A_S2_marble_floor_V060_R4,M24A_S2_marble_floor_V060,direct_refresh,0.600,0.600,2358.890684,0.756,idle,-26.730089,-9.217194,-0.330822,,,-0.330775,ros2_odometer_state
M24A_S2_marble_floor_V060_R4,M24A_S2_marble_floor_V060,direct_refresh,0.600,0.600,2358.891259,0.756,idle,-26.730295,-9.217793,-0.330787,,,-0.330775,ros2_odometer_state
M24A_S2_marble_floor_V060_R4,M24A_S2_marble_floor_V060,direct_refresh,0.600,0.600,2358.891908,0.757,idle,-26.730295,-9.217793,-0.330787,,,-0.330766,ros2_odometer_state
M24A_S2_marble_floor_V060_R4,M24A_S2_marble_floor_V060,direct_refresh,0.600,0.600,2358.892273,0.757,idle,-26.730295,-9.217793,-0.330787,,,-0.330766,ros2_odometer_state
M24A_S2_marble_floor_V060_R4,M24A_S2_marble_floor_V060,direct_refresh,0.600,0.600,2358.892842,0.758,idle,-26.730295,-9.217793,-0.330787,,,-0.330767,ros2_odometer_state
M24A_S2_marble_floor_V060_R4,M24A_S2_marble_floor_V060,direct_refresh,0.600,0.600,2358.893252,0.758,idle,-26.730295,-9.217793,-0.330787,,,-0.330767,ros2_odometer_state
M24A_S2_marble_floor_V060_R4,M24A_S2_marble_floor_V060,direct_refresh,0.600,0.600,2358.894097,0.759,idle,-26.730295,-9.217793,-0.330787,,,-0.330769,ros2_odometer_state
M24A_S2_marble_floor_V060_R4,M24A_S2_marble_floor_V060,direct_refresh,0.600,0.600,2358.894414,0.759,idle,-26.730295,-9.217793,-0.330787,,,-0.330769,ros2_odometer_state
M24A_S2_marble_floor_V060_R4,M24A_S2_marble_floor_V060,direct_refresh,0.600,0.600,2358.895217,0.760,idle,-26.730295,-9.217793,-0.330787,,,-0.330770,ros2_odometer_state
M24A_S2_marble_floor_V060_R4,M24A_S2_marble_floor_V060,direct_refresh,0.600,0.600,2358.895591,0.760,idle,-26.730295,-9.217793,-0.330787,,,-0.330770,ros2_odometer_state
M24A_S2_marble_floor_V060_R4,M24A_S2_marble_floor_V060,direct_refresh,0.600,0.600,2358.896212,0.761,idle,-26.730295,-9.217793,-0.330787,,,-0.330771,ros2_odometer_state
M24A_S2_marble_floor_V060_R4,M24A_S2_marble_floor_V060,direct_refresh,0.600,0.600,2358.896517,0.761,idle,-26.730295,-9.217793,-0.330787,,,-0.330771,ros2_odometer_state
M24A_S2_marble_floor_V060_R4,M24A_S2_marble_floor_V060,direct_refresh,0.600,0.600,2358.897425,0.762,idle,-26.730295,-9.217793,-0.330787,,,-0.330780,ros2_odometer_state
M24A_S2_marble_floor_V060_R4,M24A_S2_marble_floor_V060,direct_refresh,0.600,0.600,2358.897798,0.763,idle,-26.730295,-9.217793,-0.330787,,,-0.330780,ros2_odometer_state
M24A_S2_marble_floor_V060_R4,M24A_S2_marble_floor_V060,direct_refresh,0.600,0.600,2358.898354,0.763,idle,-26.730295,-9.217793,-0.330787,,,-0.330785,ros2_odometer_state
M24A_S2_marble_floor_V060_R4,M24A_S2_marble_floor_V060,direct_refresh,0.600,0.600,2358.898652,0.764,idle,-26.730295,-9.217793,-0.330787,,,-0.330785,ros2_odometer_state
M24A_S2_marble_floor_V060_R4,M24A_S2_marble_floor_V060,direct_refresh,0.600,0.600,2358.899393,0.764,idle,-26.730295,-9.217793,-0.330787,,,-0.330785,ros2_odometer_state
M24A_S2_marble_floor_V060_R4,M24A_S2_marble_floor_V060,direct_refresh,0.600,0.600,2358.900097,0.765,idle,-26.730295,-9.217793,-0.330787,,,-0.330791,ros2_odometer_state
M24A_S2_marble_floor_V060_R4,M24A_S2_marble_floor_V060,direct_refresh,0.600,0.600,2358.901921,0.767,idle,-26.730295,-9.217793,-0.330787,,,-0.330795,ros2_odometer_state
M24A_S2_marble_floor_V060_R4,M24A_S2_marble_floor_V060,direct_refresh,0.600,0.600,2358.902247,0.767,idle,-26.730295,-9.217793,-0.330787,,,-0.330795,ros2_odometer_state
M24A_S2_marble_floor_V060_R4,M24A_S2_marble_floor_V060,direct_refresh,0.600,0.600,2358.903787,0.769,idle,-26.730295,-9.217793,-0.330787,,,-0.330800,ros2_odometer_state
M24A_S2_marble_floor_V060_R4,M24A_S2_marble_floor_V060,direct_refresh,0.600,0.600,2358.904141,0.769,idle,-26.730497,-9.218385,-0.330795,,,-0.330800,ros2_odometer_state
M24A_S2_marble_floor_V060_R4,M24A_S2_marble_floor_V060,direct_refresh,0.600,0.600,2358.905607,0.770,idle,-26.730497,-9.218385,-0.330795,,,-0.330804,ros2_odometer_state
M24A_S2_marble_floor_V060_R4,M24A_S2_marble_floor_V060,direct_refresh,0.600,0.600,2358.905913,0.771,idle,-26.730497,-9.218385,-0.330795,,,-0.330804,ros2_odometer_state
M24A_S2_marble_floor_V060_R4,M24A_S2_marble_floor_V060,direct_refresh,0.600,0.600,2358.907644,0.773,idle,-26.730497,-9.218385,-0.330795,,,-0.330805,ros2_odometer_state
M24A_S2_marble_floor_V060_R4,M24A_S2_marble_floor_V060,direct_refresh,0.600,0.600,2358.907944,0.773,idle,-26.730497,-9.218385,-0.330795,,,-0.330805,ros2_odometer_state
M24A_S2_marble_floor_V060_R4,M24A_S2_marble_floor_V060,direct_refresh,0.600,0.600,2358.909720,0.775,idle,-26.730497,-9.218385,-0.330795,,,-0.330805,ros2_odometer_state
M24A_S2_marble_floor_V060_R4,M24A_S2_marble_floor_V060,direct_refresh,0.600,0.600,2358.910021,0.775,idle,-26.730497,-9.218385,-0.330795,,,-0.330805,ros2_odometer_state
M24A_S2_marble_floor_V060_R4,M24A_S2_marble_floor_V060,direct_refresh,0.600,0.600,2358.911918,0.777,idle,-26.730497,-9.218385,-0.330795,,,-0.330809,ros2_odometer_state
M24A_S2_marble_floor_V060_R4,M24A_S2_marble_floor_V060,direct_refresh,0.600,0.600,2358.912291,0.777,idle,-26.730497,-9.218385,-0.330795,,,-0.330809,ros2_odometer_state
M24A_S2_marble_floor_V060_R4,M24A_S2_marble_floor_V060,direct_refresh,0.600,0.600,2358.913846,0.779,idle,-26.730497,-9.218385,-0.330795,,,-0.330809,ros2_odometer_state
M24A_S2_marble_floor_V060_R4,M24A_S2_marble_floor_V060,direct_refresh,0.600,0.600,2358.914428,0.779,idle,-26.730497,-9.218385,-0.330795,,,-0.330806,ros2_odometer_state
M24A_S2_marble_floor_V060_R4,M24A_S2_marble_floor_V060,direct_refresh,0.600,0.600,2358.915308,0.780,idle,-26.730497,-9.218385,-0.330795,,,-0.330806,ros2_odometer_state
M24A_S2_marble_floor_V060_R4,M24A_S2_marble_floor_V060,direct_refresh,0.600,0.600,2358.915920,0.781,idle,-26.730497,-9.218385,-0.330795,,,-0.330806,ros2_odometer_state
M24A_S2_marble_floor_V060_R4,M24A_S2_marble_floor_V060,direct_refresh,0.600,0.600,2358.917839,0.783,idle,-26.730497,-9.218385,-0.330795,,,-0.330804,ros2_odometer_state
M24A_S2_marble_floor_V060_R4,M24A_S2_marble_floor_V060,direct_refresh,0.600,0.600,2358.918216,0.783,idle,-26.730497,-9.218385,-0.330795,,,-0.330804,ros2_odometer_state
M24A_S2_marble_floor_V060_R4,M24A_S2_marble_floor_V060,direct_refresh,0.600,0.600,2358.919336,0.784,idle,-26.730497,-9.218385,-0.330795,,,-0.330804,ros2_odometer_state
M24A_S2_marble_floor_V060_R4,M24A_S2_marble_floor_V060,direct_refresh,0.600,0.600,2358.919941,0.785,idle,-26.730497,-9.218385,-0.330795,,,-0.330803,ros2_odometer_state
M24A_S2_marble_floor_V060_R4,M24A_S2_marble_floor_V060,direct_refresh,0.600,0.600,2358.921334,0.786,idle,-26.730497,-9.218385,-0.330795,,,-0.330803,ros2_odometer_state
M24A_S2_marble_floor_V060_R4,M24A_S2_marble_floor_V060,direct_refresh,0.600,0.600,2358.921909,0.787,idle,-26.730497,-9.218385,-0.330795,,,-0.330806,ros2_odometer_state
M24A_S2_marble_floor_V060_R4,M24A_S2_marble_floor_V060,direct_refresh,0.600,0.600,2358.923304,0.788,idle,-26.730705,-9.218989,-0.330806,,,-0.330806,ros2_odometer_state
M24A_S2_marble_floor_V060_R4,M24A_S2_marble_floor_V060,direct_refresh,0.600,0.600,2358.923884,0.789,idle,-26.730705,-9.218989,-0.330806,,,-0.330809,ros2_odometer_state
M24A_S2_marble_floor_V060_R4,M24A_S2_marble_floor_V060,direct_refresh,0.600,0.600,2358.925792,0.791,idle,-26.730705,-9.218989,-0.330806,,,-0.330806,ros2_odometer_state
M24A_S2_marble_floor_V060_R4,M24A_S2_marble_floor_V060,direct_refresh,0.600,0.600,2358.926274,0.791,idle,-26.730705,-9.218989,-0.330806,,,-0.330806,ros2_odometer_state
M24A_S2_marble_floor_V060_R4,M24A_S2_marble_floor_V060,direct_refresh,0.600,0.600,2358.928411,0.793,idle,-26.730705,-9.218989,-0.330806,,,-0.330800,ros2_odometer_state
M24A_S2_marble_floor_V060_R4,M24A_S2_marble_floor_V060,direct_refresh,0.600,0.600,2358.928804,0.794,idle,-26.730705,-9.218989,-0.330806,,,-0.330800,ros2_odometer_state
M24A_S2_marble_floor_V060_R4,M24A_S2_marble_floor_V060,direct_refresh,0.600,0.600,2358.929486,0.794,idle,-26.730705,-9.218989,-0.330806,,,-0.330800,ros2_odometer_state
M24A_S2_marble_floor_V060_R4,M24A_S2_marble_floor_V060,direct_refresh,0.600,0.600,2358.930193,0.795,idle,-26.730705,-9.218989,-0.330806,,,-0.330801,ros2_odometer_state
M24A_S2_marble_floor_V060_R4,M24A_S2_marble_floor_V060,direct_refresh,0.600,0.600,2358.931462,0.796,idle,-26.730705,-9.218989,-0.330806,,,-0.330801,ros2_odometer_state
M24A_S2_marble_floor_V060_R4,M24A_S2_marble_floor_V060,direct_refresh,0.600,0.600,2358.932190,0.797,idle,-26.730705,-9.218989,-0.330806,,,-0.330802,ros2_odometer_state
M24A_S2_marble_floor_V060_R4,M24A_S2_marble_floor_V060,direct_refresh,0.600,0.600,2358.934402,0.799,idle,-26.730705,-9.218989,-0.330806,,,-0.330805,ros2_odometer_state
M24A_S2_marble_floor_V060_R4,M24A_S2_marble_floor_V060,direct_refresh,0.600,0.600,2358.934744,0.800,idle,-26.730705,-9.218989,-0.330806,,,-0.330805,ros2_odometer_state
M24A_S2_marble_floor_V060_R4,M24A_S2_marble_floor_V060,direct_refresh,0.600,0.600,2358.935575,0.800,idle,-26.730705,-9.218989,-0.330806,,,-0.330805,ros2_odometer_state
M24A_S2_marble_floor_V060_R4,M24A_S2_marble_floor_V060,direct_refresh,0.600,0.600,2358.936287,0.801,idle,-26.730705,-9.218989,-0.330806,,,-0.330804,ros2_odometer_state
M24A_S2_marble_floor_V060_R4,M24A_S2_marble_floor_V060,direct_refresh,0.600,0.600,2358.937482,0.802,idle,-26.730705,-9.218989,-0.330806,,,-0.330804,ros2_odometer_state
M24A_S2_marble_floor_V060_R4,M24A_S2_marble_floor_V060,direct_refresh,0.600,0.600,2358.938197,0.803,idle,-26.730705,-9.218989,-0.330806,,,-0.330801,ros2_odometer_state
M24A_S2_marble_floor_V060_R4,M24A_S2_marble_floor_V060,direct_refresh,0.600,0.600,2358.940076,0.805,idle,-26.730705,-9.218989,-0.330806,,,-0.330799,ros2_odometer_state
M24A_S2_marble_floor_V060_R4,M24A_S2_marble_floor_V060,direct_refresh,0.600,0.600,2358.940404,0.805,idle,-26.730705,-9.218989,-0.330806,,,-0.330799,ros2_odometer_state
M24A_S2_marble_floor_V060_R4,M24A_S2_marble_floor_V060,direct_refresh,0.600,0.600,2358.942016,0.807,idle,-26.730705,-9.218989,-0.330806,,,-0.330801,ros2_odometer_state
