trial_id,timestamp_monotonic,t_rel,phase,command_velocity,odom_x,odom_y,odom_theta,imu_roll,imu_pitch,imu_yaw,source
M19C_S2_marble_floor_B3_U050_R3,2072.209820515,0.552736440,idle,0.500000,-1.756524801,-10.575078011,-0.990513742,,,,ros2_odometer_state
M19C_S2_marble_floor_B3_U050_R3,2072.211276185,0.554192110,idle,0.500000,-1.756524801,-10.575078011,-0.990513742,0.021474387,-0.025560135,-0.990504682,ros2_odometer_state
M19C_S2_marble_floor_B3_U050_R3,2072.212575882,0.555491807,idle,0.500000,-1.756524801,-10.575078011,-0.990513742,0.021474387,-0.025560135,-0.990504682,ros2_odometer_state
M19C_S2_marble_floor_B3_U050_R3,2072.213835034,0.556750959,idle,0.500000,-1.756524801,-10.575078011,-0.990513742,0.021480728,-0.025537584,-0.990513742,ros2_odometer_state
M19C_S2_marble_floor_B3_U050_R3,2072.215086313,0.558002238,idle,0.500000,-1.756524801,-10.575078011,-0.990513742,0.021480728,-0.025537584,-0.990513742,ros2_odometer_state
M19C_S2_marble_floor_B3_U050_R3,2072.216318103,0.559234028,idle,0.500000,-1.756524801,-10.575078011,-0.990513742,0.021478308,-0.025536347,-0.990521193,ros2_odometer_state
M19C_S2_marble_floor_B3_U050_R3,2072.217217433,0.560133358,idle,0.500000,-1.756524801,-10.575078011,-0.990513742,0.021490904,-0.025543189,-0.990523398,ros2_odometer_state
M19C_S2_marble_floor_B3_U050_R3,2072.218384389,0.561300314,idle,0.500000,-1.756524801,-10.575078011,-0.990513742,0.021498287,-0.025542807,-0.990521848,ros2_odometer_state
M19C_S2_marble_floor_B3_U050_R3,2072.219304327,0.562220252,idle,0.500000,-1.756524801,-10.575078011,-0.990513742,0.021502981,-0.025547106,-0.990519166,ros2_odometer_state
M19C_S2_marble_floor_B3_U050_R3,2072.220897283,0.563813208,idle,0.500000,-1.757186770,-10.575511932,-0.990534961,0.021506306,-0.025552746,-0.990525305,ros2_odometer_state
M19C_S2_marble_floor_B3_U050_R3,2072.221826310,0.564742235,idle,0.500000,-1.757186770,-10.575511932,-0.990534961,0.021501170,-0.025550235,-0.990533829,ros2_odometer_state
