trial_id,replication_group_id,condition,desired_velocity_mps,command_velocity_mps,timestamp_monotonic,t_rel,phase,odom_x,odom_y,odom_theta,imu_roll,imu_pitch,imu_yaw,source
M24G_CORE_S2_marble_floor_V050_R2,M24G_CORE_S2_marble_floor_V050,direct_refresh_controlled,0.500,0.500,1825.385614,0.431,idle,-6.777134,4.708863,-2.366328,,,,ros2_odometer_state
M24G_CORE_S2_marble_floor_V050_R2,M24G_CORE_S2_marble_floor_V050,direct_refresh_controlled,0.500,0.500,1825.386113,0.432,idle,-6.777134,4.708863,-2.366328,,,,ros2_odometer_state
M24G_CORE_S2_marble_floor_V050_R2,M24G_CORE_S2_marble_floor_V050,direct_refresh_controlled,0.500,0.500,1825.386419,0.432,idle,-6.777134,4.708863,-2.366328,,,,ros2_odometer_state
M24G_CORE_S2_marble_floor_V050_R2,M24G_CORE_S2_marble_floor_V050,direct_refresh_controlled,0.500,0.500,1825.393792,0.439,idle,-6.777134,4.708863,-2.366328,,,,ros2_odometer_state
M24G_CORE_S2_marble_floor_V050_R2,M24G_CORE_S2_marble_floor_V050,direct_refresh_controlled,0.500,0.500,1825.394250,0.440,idle,-6.777864,4.709608,-2.366330,,,,ros2_odometer_state
M24G_CORE_S2_marble_floor_V050_R2,M24G_CORE_S2_marble_floor_V050,direct_refresh_controlled,0.500,0.500,1825.394543,0.440,idle,-6.777864,4.709608,-2.366330,,,,ros2_odometer_state
M24G_CORE_S2_marble_floor_V050_R2,M24G_CORE_S2_marble_floor_V050,direct_refresh_controlled,0.500,0.500,1825.394819,0.441,idle,-6.777864,4.709608,-2.366330,,,,ros2_odometer_state
M24G_CORE_S2_marble_floor_V050_R2,M24G_CORE_S2_marble_floor_V050,direct_refresh_controlled,0.500,0.500,1825.396412,0.442,idle,-6.777864,4.709608,-2.366330,,,,ros2_odometer_state
M24G_CORE_S2_marble_floor_V050_R2,M24G_CORE_S2_marble_floor_V050,direct_refresh_controlled,0.500,0.500,1825.396713,0.442,idle,-6.777864,4.709608,-2.366330,,,,ros2_odometer_state
M24G_CORE_S2_marble_floor_V050_R2,M24G_CORE_S2_marble_floor_V050,direct_refresh_controlled,0.500,0.500,1825.397688,0.443,idle,-6.777864,4.709608,-2.366330,,,,ros2_odometer_state
M24G_CORE_S2_marble_floor_V050_R2,M24G_CORE_S2_marble_floor_V050,direct_refresh_controlled,0.500,0.500,1825.403668,0.449,idle,-6.777864,4.709608,-2.366330,,,-2.366324,ros2_odometer_state
M24G_CORE_S2_marble_floor_V050_R2,M24G_CORE_S2_marble_floor_V050,direct_refresh_controlled,0.500,0.500,1825.404945,0.451,idle,-6.778594,4.710352,-2.366319,,,-2.366324,ros2_odometer_state
M24G_CORE_S2_marble_floor_V050_R2,M24G_CORE_S2_marble_floor_V050,direct_refresh_controlled,0.500,0.500,1825.405832,0.452,idle,-6.778594,4.710352,-2.366319,,,-2.366315,ros2_odometer_state
M24G_CORE_S2_marble_floor_V050_R2,M24G_CORE_S2_marble_floor_V050,direct_refresh_controlled,0.500,0.500,1825.406404,0.452,idle,-6.778594,4.710352,-2.366319,,,-2.366315,ros2_odometer_state
M24G_CORE_S2_marble_floor_V050_R2,M24G_CORE_S2_marble_floor_V050,direct_refresh_controlled,0.500,0.500,1825.407103,0.453,idle,-6.778594,4.710352,-2.366319,,,-2.366317,ros2_odometer_state
M24G_CORE_S2_marble_floor_V050_R2,M24G_CORE_S2_marble_floor_V050,direct_refresh_controlled,0.500,0.500,1825.407585,0.453,idle,-6.778594,4.710352,-2.366319,,,-2.366317,ros2_odometer_state
M24G_CORE_S2_marble_floor_V050_R2,M24G_CORE_S2_marble_floor_V050,direct_refresh_controlled,0.500,0.500,1825.408858,0.455,idle,-6.778594,4.710352,-2.366319,,,-2.366321,ros2_odometer_state
M24G_CORE_S2_marble_floor_V050_R2,M24G_CORE_S2_marble_floor_V050,direct_refresh_controlled,0.500,0.500,1825.409436,0.455,idle,-6.778594,4.710352,-2.366319,,,-2.366321,ros2_odometer_state
