trial_id,replication_group_id,condition,desired_velocity_mps,command_velocity_mps,timestamp_monotonic,t_rel,phase,odom_x,odom_y,odom_theta,imu_roll,imu_pitch,imu_yaw,source
M24G_CORE_S2_marble_floor_V055_R5,M24G_CORE_S2_marble_floor_V055,direct_refresh_controlled,0.550,0.550,2012.677669,0.770,idle,-3.454527,3.858584,1.212319,,,1.212396,ros2_odometer_state
M24G_CORE_S2_marble_floor_V055_R5,M24G_CORE_S2_marble_floor_V055,direct_refresh_controlled,0.550,0.550,2012.678536,0.770,idle,-3.454527,3.858584,1.212319,,,1.212407,ros2_odometer_state
M24G_CORE_S2_marble_floor_V055_R5,M24G_CORE_S2_marble_floor_V055,direct_refresh_controlled,0.550,0.550,2012.679033,0.771,idle,-3.454527,3.858584,1.212319,,,1.212407,ros2_odometer_state
M24G_CORE_S2_marble_floor_V055_R5,M24G_CORE_S2_marble_floor_V055,direct_refresh_controlled,0.550,0.550,2012.679717,0.772,idle,-3.454527,3.858584,1.212319,,,1.212425,ros2_odometer_state
M24G_CORE_S2_marble_floor_V055_R5,M24G_CORE_S2_marble_floor_V055,direct_refresh_controlled,0.550,0.550,2012.680693,0.773,idle,-3.454527,3.858584,1.212275,,,1.212425,ros2_odometer_state
M24G_CORE_S2_marble_floor_V055_R5,M24G_CORE_S2_marble_floor_V055,direct_refresh_controlled,0.550,0.550,2012.681384,0.773,idle,-3.454527,3.858584,1.212275,,,1.212237,ros2_odometer_state
M24G_CORE_S2_marble_floor_V055_R5,M24G_CORE_S2_marble_floor_V055,direct_refresh_controlled,0.550,0.550,2012.681774,0.774,idle,-3.454527,3.858584,1.212275,,,1.212237,ros2_odometer_state
M24G_CORE_S2_marble_floor_V055_R5,M24G_CORE_S2_marble_floor_V055,direct_refresh_controlled,0.550,0.550,2012.682407,0.774,idle,-3.454527,3.858584,1.212275,,,1.212227,ros2_odometer_state
M24G_CORE_S2_marble_floor_V055_R5,M24G_CORE_S2_marble_floor_V055,direct_refresh_controlled,0.550,0.550,2012.682735,0.775,idle,-3.454527,3.858584,1.212275,,,1.212227,ros2_odometer_state
M24G_CORE_S2_marble_floor_V055_R5,M24G_CORE_S2_marble_floor_V055,direct_refresh_controlled,0.550,0.550,2012.684108,0.776,idle,-3.454527,3.858584,1.212275,,,1.212219,ros2_odometer_state
M24G_CORE_S2_marble_floor_V055_R5,M24G_CORE_S2_marble_floor_V055,direct_refresh_controlled,0.550,0.550,2012.684487,0.776,idle,-3.454527,3.858584,1.212275,,,1.212219,ros2_odometer_state
M24G_CORE_S2_marble_floor_V055_R5,M24G_CORE_S2_marble_floor_V055,direct_refresh_controlled,0.550,0.550,2012.685216,0.777,idle,-3.454527,3.858584,1.212275,,,1.212215,ros2_odometer_state
M24G_CORE_S2_marble_floor_V055_R5,M24G_CORE_S2_marble_floor_V055,direct_refresh_controlled,0.550,0.550,2012.685563,0.777,idle,-3.454527,3.858584,1.212275,,,1.212215,ros2_odometer_state
M24G_CORE_S2_marble_floor_V055_R5,M24G_CORE_S2_marble_floor_V055,direct_refresh_controlled,0.550,0.550,2012.686158,0.778,idle,-3.454527,3.858584,1.212275,,,1.212216,ros2_odometer_state
M24G_CORE_S2_marble_floor_V055_R5,M24G_CORE_S2_marble_floor_V055,direct_refresh_controlled,0.550,0.550,2012.686446,0.778,idle,-3.454527,3.858584,1.212275,,,1.212216,ros2_odometer_state
M24G_CORE_S2_marble_floor_V055_R5,M24G_CORE_S2_marble_floor_V055,direct_refresh_controlled,0.550,0.550,2012.687120,0.779,idle,-3.454527,3.858584,1.212275,,,1.212217,ros2_odometer_state
M24G_CORE_S2_marble_floor_V055_R5,M24G_CORE_S2_marble_floor_V055,direct_refresh_controlled,0.550,0.550,2012.687427,0.779,idle,-3.454527,3.858584,1.212275,,,1.212217,ros2_odometer_state
M24G_CORE_S2_marble_floor_V055_R5,M24G_CORE_S2_marble_floor_V055,direct_refresh_controlled,0.550,0.550,2012.688033,0.780,idle,-3.454527,3.858584,1.212275,,,1.212214,ros2_odometer_state
M24G_CORE_S2_marble_floor_V055_R5,M24G_CORE_S2_marble_floor_V055,direct_refresh_controlled,0.550,0.550,2012.688330,0.780,idle,-3.454527,3.858584,1.212275,,,1.212214,ros2_odometer_state
M24G_CORE_S2_marble_floor_V055_R5,M24G_CORE_S2_marble_floor_V055,direct_refresh_controlled,0.550,0.550,2012.689083,0.781,idle,-3.454527,3.858584,1.212275,,,1.212209,ros2_odometer_state
M24G_CORE_S2_marble_floor_V055_R5,M24G_CORE_S2_marble_floor_V055,direct_refresh_controlled,0.550,0.550,2012.689411,0.781,idle,-3.454527,3.858584,1.212214,,,1.212209,ros2_odometer_state
M24G_CORE_S2_marble_floor_V055_R5,M24G_CORE_S2_marble_floor_V055,direct_refresh_controlled,0.550,0.550,2012.689963,0.782,idle,-3.454527,3.858584,1.212214,,,1.212210,ros2_odometer_state
M24G_CORE_S2_marble_floor_V055_R5,M24G_CORE_S2_marble_floor_V055,direct_refresh_controlled,0.550,0.550,2012.690263,0.782,idle,-3.454527,3.858584,1.212222,,,1.212210,ros2_odometer_state
M24G_CORE_S2_marble_floor_V055_R5,M24G_CORE_S2_marble_floor_V055,direct_refresh_controlled,0.550,0.550,2012.690932,0.783,idle,-3.454527,3.858584,1.212222,,,1.212231,ros2_odometer_state
M24G_CORE_S2_marble_floor_V055_R5,M24G_CORE_S2_marble_floor_V055,direct_refresh_controlled,0.550,0.550,2012.691243,0.783,idle,-3.454527,3.858584,1.212222,,,1.212231,ros2_odometer_state
M24G_CORE_S2_marble_floor_V055_R5,M24G_CORE_S2_marble_floor_V055,direct_refresh_controlled,0.550,0.550,2012.691794,0.784,idle,-3.454527,3.858584,1.212222,,,1.212233,ros2_odometer_state
M24G_CORE_S2_marble_floor_V055_R5,M24G_CORE_S2_marble_floor_V055,direct_refresh_controlled,0.550,0.550,2012.692091,0.784,idle,-3.454527,3.858584,1.212222,,,1.212233,ros2_odometer_state
M24G_CORE_S2_marble_floor_V055_R5,M24G_CORE_S2_marble_floor_V055,direct_refresh_controlled,0.550,0.550,2012.694095,0.786,idle,-3.454527,3.858584,1.212222,,,1.212227,ros2_odometer_state
M24G_CORE_S2_marble_floor_V055_R5,M24G_CORE_S2_marble_floor_V055,direct_refresh_controlled,0.550,0.550,2012.694538,0.786,idle,-3.454527,3.858584,1.212222,,,1.212227,ros2_odometer_state
M24G_CORE_S2_marble_floor_V055_R5,M24G_CORE_S2_marble_floor_V055,direct_refresh_controlled,0.550,0.550,2012.695236,0.787,idle,-3.454527,3.858584,1.212222,,,1.212224,ros2_odometer_state
M24G_CORE_S2_marble_floor_V055_R5,M24G_CORE_S2_marble_floor_V055,direct_refresh_controlled,0.550,0.550,2012.695571,0.787,idle,-3.454527,3.858584,1.212222,,,1.212224,ros2_odometer_state
M24G_CORE_S2_marble_floor_V055_R5,M24G_CORE_S2_marble_floor_V055,direct_refresh_controlled,0.550,0.550,2012.696200,0.788,idle,-3.454527,3.858584,1.212222,,,1.212230,ros2_odometer_state
M24G_CORE_S2_marble_floor_V055_R5,M24G_CORE_S2_marble_floor_V055,direct_refresh_controlled,0.550,0.550,2012.696507,0.788,idle,-3.454527,3.858584,1.212222,,,1.212230,ros2_odometer_state
M24G_CORE_S2_marble_floor_V055_R5,M24G_CORE_S2_marble_floor_V055,direct_refresh_controlled,0.550,0.550,2012.697181,0.789,idle,-3.454527,3.858584,1.212222,,,1.212231,ros2_odometer_state
M24G_CORE_S2_marble_floor_V055_R5,M24G_CORE_S2_marble_floor_V055,direct_refresh_controlled,0.550,0.550,2012.697491,0.789,idle,-3.454527,3.858584,1.212222,,,1.212231,ros2_odometer_state
M24G_CORE_S2_marble_floor_V055_R5,M24G_CORE_S2_marble_floor_V055,direct_refresh_controlled,0.550,0.550,2012.698038,0.790,idle,-3.454527,3.858584,1.212222,,,1.212222,ros2_odometer_state
M24G_CORE_S2_marble_floor_V055_R5,M24G_CORE_S2_marble_floor_V055,direct_refresh_controlled,0.550,0.550,2012.698315,0.790,idle,-3.454527,3.858584,1.212222,,,1.212222,ros2_odometer_state
