trial_id,replication_group_id,condition,desired_velocity_mps,command_velocity_mps,timestamp_monotonic,t_rel,phase,odom_x,odom_y,odom_theta,imu_roll,imu_pitch,imu_yaw,source
M24G_CORE_S2_marble_floor_V045_R3,M24G_CORE_S2_marble_floor_V045,direct_refresh_controlled,0.450,0.450,1746.466762,1.091,idle,-0.103135,12.886751,-1.577482,,,-1.577556,ros2_odometer_state
M24G_CORE_S2_marble_floor_V045_R3,M24G_CORE_S2_marble_floor_V045,direct_refresh_controlled,0.450,0.450,1746.468406,1.093,idle,-0.103135,12.886751,-1.577482,,,-1.577556,ros2_odometer_state
M24G_CORE_S2_marble_floor_V045_R3,M24G_CORE_S2_marble_floor_V045,direct_refresh_controlled,0.450,0.450,1746.469257,1.093,idle,-0.103135,12.886751,-1.577482,,,-1.577570,ros2_odometer_state
M24G_CORE_S2_marble_floor_V045_R3,M24G_CORE_S2_marble_floor_V045,direct_refresh_controlled,0.450,0.450,1746.500182,1.124,idle,-0.103135,12.886751,-1.577482,,,-1.577658,ros2_odometer_state
M24G_CORE_S2_marble_floor_V045_R3,M24G_CORE_S2_marble_floor_V045,direct_refresh_controlled,0.450,0.450,1746.500894,1.125,idle,-0.103919,12.886758,-1.577588,,,-1.577658,ros2_odometer_state
M24G_CORE_S2_marble_floor_V045_R3,M24G_CORE_S2_marble_floor_V045,direct_refresh_controlled,0.450,0.450,1746.501578,1.126,idle,-0.103919,12.886758,-1.577588,,,-1.577663,ros2_odometer_state
M24G_CORE_S2_marble_floor_V045_R3,M24G_CORE_S2_marble_floor_V045,direct_refresh_controlled,0.450,0.450,1746.501922,1.126,idle,-0.103919,12.886758,-1.577588,,,-1.577663,ros2_odometer_state
M24G_CORE_S2_marble_floor_V045_R3,M24G_CORE_S2_marble_floor_V045,direct_refresh_controlled,0.450,0.450,1746.502560,1.127,idle,-0.103919,12.886758,-1.577588,,,-1.577675,ros2_odometer_state
M24G_CORE_S2_marble_floor_V045_R3,M24G_CORE_S2_marble_floor_V045,direct_refresh_controlled,0.450,0.450,1746.502865,1.127,idle,-0.103919,12.886758,-1.577588,,,-1.577675,ros2_odometer_state
M24G_CORE_S2_marble_floor_V045_R3,M24G_CORE_S2_marble_floor_V045,direct_refresh_controlled,0.450,0.450,1746.503718,1.128,idle,-0.103919,12.886758,-1.577588,,,-1.577683,ros2_odometer_state
M24G_CORE_S2_marble_floor_V045_R3,M24G_CORE_S2_marble_floor_V045,direct_refresh_controlled,0.450,0.450,1746.504134,1.128,idle,-0.103919,12.886758,-1.577588,,,-1.577683,ros2_odometer_state
M24G_CORE_S2_marble_floor_V045_R3,M24G_CORE_S2_marble_floor_V045,direct_refresh_controlled,0.450,0.450,1746.504727,1.129,idle,-0.103919,12.886758,-1.577588,,,-1.577687,ros2_odometer_state
M24G_CORE_S2_marble_floor_V045_R3,M24G_CORE_S2_marble_floor_V045,direct_refresh_controlled,0.450,0.450,1746.505028,1.129,idle,-0.103919,12.886758,-1.577588,,,-1.577687,ros2_odometer_state
M24G_CORE_S2_marble_floor_V045_R3,M24G_CORE_S2_marble_floor_V045,direct_refresh_controlled,0.450,0.450,1746.505847,1.130,idle,-0.103919,12.886758,-1.577588,,,-1.577698,ros2_odometer_state
M24G_CORE_S2_marble_floor_V045_R3,M24G_CORE_S2_marble_floor_V045,direct_refresh_controlled,0.450,0.450,1746.506182,1.130,idle,-0.103919,12.886758,-1.577588,,,-1.577698,ros2_odometer_state
M24G_CORE_S2_marble_floor_V045_R3,M24G_CORE_S2_marble_floor_V045,direct_refresh_controlled,0.450,0.450,1746.506776,1.131,idle,-0.103919,12.886758,-1.577588,,,-1.577713,ros2_odometer_state
M24G_CORE_S2_marble_floor_V045_R3,M24G_CORE_S2_marble_floor_V045,direct_refresh_controlled,0.450,0.450,1746.507063,1.131,idle,-0.104714,12.886764,-1.577683,,,-1.577713,ros2_odometer_state
M24G_CORE_S2_marble_floor_V045_R3,M24G_CORE_S2_marble_floor_V045,direct_refresh_controlled,0.450,0.450,1746.507940,1.132,idle,-0.104714,12.886764,-1.577683,,,-1.577722,ros2_odometer_state
M24G_CORE_S2_marble_floor_V045_R3,M24G_CORE_S2_marble_floor_V045,direct_refresh_controlled,0.450,0.450,1746.508326,1.133,idle,-0.104714,12.886764,-1.577683,,,-1.577722,ros2_odometer_state
M24G_CORE_S2_marble_floor_V045_R3,M24G_CORE_S2_marble_floor_V045,direct_refresh_controlled,0.450,0.450,1746.508909,1.133,idle,-0.104714,12.886764,-1.577683,,,-1.577734,ros2_odometer_state
M24G_CORE_S2_marble_floor_V045_R3,M24G_CORE_S2_marble_floor_V045,direct_refresh_controlled,0.450,0.450,1746.509193,1.133,idle,-0.104714,12.886764,-1.577683,,,-1.577734,ros2_odometer_state
M24G_CORE_S2_marble_floor_V045_R3,M24G_CORE_S2_marble_floor_V045,direct_refresh_controlled,0.450,0.450,1746.509978,1.134,idle,-0.104714,12.886764,-1.577683,,,-1.577441,ros2_odometer_state
M24G_CORE_S2_marble_floor_V045_R3,M24G_CORE_S2_marble_floor_V045,direct_refresh_controlled,0.450,0.450,1746.510293,1.135,idle,-0.104714,12.886764,-1.577683,,,-1.577441,ros2_odometer_state
M24G_CORE_S2_marble_floor_V045_R3,M24G_CORE_S2_marble_floor_V045,direct_refresh_controlled,0.450,0.450,1746.510906,1.135,idle,-0.104714,12.886764,-1.577683,,,-1.577549,ros2_odometer_state
M24G_CORE_S2_marble_floor_V045_R3,M24G_CORE_S2_marble_floor_V045,direct_refresh_controlled,0.450,0.450,1746.511196,1.135,idle,-0.121759,12.886871,-1.577367,,,-1.577549,ros2_odometer_state
M24G_CORE_S2_marble_floor_V045_R3,M24G_CORE_S2_marble_floor_V045,direct_refresh_controlled,0.450,0.450,1746.511946,1.136,idle,-0.121759,12.886871,-1.577367,,,-1.577549,ros2_odometer_state
M24G_CORE_S2_marble_floor_V045_R3,M24G_CORE_S2_marble_floor_V045,direct_refresh_controlled,0.450,0.450,1746.512287,1.137,idle,-0.123367,12.886881,-1.577514,,,-1.577549,ros2_odometer_state
M24G_CORE_S2_marble_floor_V045_R3,M24G_CORE_S2_marble_floor_V045,direct_refresh_controlled,0.450,0.450,1746.512847,1.137,idle,-0.123367,12.886881,-1.577514,,,-1.577554,ros2_odometer_state
M24G_CORE_S2_marble_floor_V045_R3,M24G_CORE_S2_marble_floor_V045,direct_refresh_controlled,0.450,0.450,1746.513131,1.137,idle,-0.123367,12.886881,-1.577514,,,-1.577554,ros2_odometer_state
M24G_CORE_S2_marble_floor_V045_R3,M24G_CORE_S2_marble_floor_V045,direct_refresh_controlled,0.450,0.450,1746.513716,1.138,idle,-0.123367,12.886881,-1.577514,,,-1.577562,ros2_odometer_state
M24G_CORE_S2_marble_floor_V045_R3,M24G_CORE_S2_marble_floor_V045,direct_refresh_controlled,0.450,0.450,1746.514161,1.138,idle,-0.123367,12.886881,-1.577514,,,-1.577562,ros2_odometer_state
M24G_CORE_S2_marble_floor_V045_R3,M24G_CORE_S2_marble_floor_V045,direct_refresh_controlled,0.450,0.450,1746.514751,1.139,idle,-0.123367,12.886881,-1.577514,,,-1.577564,ros2_odometer_state
M24G_CORE_S2_marble_floor_V045_R3,M24G_CORE_S2_marble_floor_V045,direct_refresh_controlled,0.450,0.450,1746.515049,1.139,idle,-0.123367,12.886881,-1.577514,,,-1.577564,ros2_odometer_state
M24G_CORE_S2_marble_floor_V045_R3,M24G_CORE_S2_marble_floor_V045,direct_refresh_controlled,0.450,0.450,1746.515806,1.140,idle,-0.123367,12.886881,-1.577514,,,-1.577567,ros2_odometer_state
M24G_CORE_S2_marble_floor_V045_R3,M24G_CORE_S2_marble_floor_V045,direct_refresh_controlled,0.450,0.450,1746.516130,1.140,idle,-0.123367,12.886881,-1.577514,,,-1.577567,ros2_odometer_state
M24G_CORE_S2_marble_floor_V045_R3,M24G_CORE_S2_marble_floor_V045,direct_refresh_controlled,0.450,0.450,1746.516716,1.141,idle,-0.123367,12.886881,-1.577514,,,-1.577572,ros2_odometer_state
M24G_CORE_S2_marble_floor_V045_R3,M24G_CORE_S2_marble_floor_V045,direct_refresh_controlled,0.450,0.450,1746.516999,1.141,idle,-0.124193,12.886887,-1.577564,,,-1.577572,ros2_odometer_state
M24G_CORE_S2_marble_floor_V045_R3,M24G_CORE_S2_marble_floor_V045,direct_refresh_controlled,0.450,0.450,1746.517746,1.142,idle,-0.124193,12.886887,-1.577564,,,-1.577575,ros2_odometer_state
M24G_CORE_S2_marble_floor_V045_R3,M24G_CORE_S2_marble_floor_V045,direct_refresh_controlled,0.450,0.450,1746.518057,1.142,idle,-0.124193,12.886887,-1.577564,,,-1.577575,ros2_odometer_state
M24G_CORE_S2_marble_floor_V045_R3,M24G_CORE_S2_marble_floor_V045,direct_refresh_controlled,0.450,0.450,1746.518618,1.143,idle,-0.124193,12.886887,-1.577564,,,-1.577582,ros2_odometer_state
M24G_CORE_S2_marble_floor_V045_R3,M24G_CORE_S2_marble_floor_V045,direct_refresh_controlled,0.450,0.450,1746.518918,1.143,idle,-0.124193,12.886887,-1.577564,,,-1.577582,ros2_odometer_state
M24G_CORE_S2_marble_floor_V045_R3,M24G_CORE_S2_marble_floor_V045,direct_refresh_controlled,0.450,0.450,1746.519767,1.144,idle,-0.124193,12.886887,-1.577564,,,-1.577587,ros2_odometer_state
M24G_CORE_S2_marble_floor_V045_R3,M24G_CORE_S2_marble_floor_V045,direct_refresh_controlled,0.450,0.450,1746.520178,1.144,idle,-0.124193,12.886887,-1.577564,,,-1.577587,ros2_odometer_state
M24G_CORE_S2_marble_floor_V045_R3,M24G_CORE_S2_marble_floor_V045,direct_refresh_controlled,0.450,0.450,1746.520775,1.145,idle,-0.124193,12.886887,-1.577564,,,-1.577590,ros2_odometer_state
M24G_CORE_S2_marble_floor_V045_R3,M24G_CORE_S2_marble_floor_V045,direct_refresh_controlled,0.450,0.450,1746.521101,1.145,idle,-0.124193,12.886887,-1.577564,,,-1.577590,ros2_odometer_state
M24G_CORE_S2_marble_floor_V045_R3,M24G_CORE_S2_marble_floor_V045,direct_refresh_controlled,0.450,0.450,1746.521633,1.146,idle,-0.124193,12.886887,-1.577564,,,-1.577590,ros2_odometer_state
M24G_CORE_S2_marble_floor_V045_R3,M24G_CORE_S2_marble_floor_V045,direct_refresh_controlled,0.450,0.450,1746.521943,1.146,idle,-0.124193,12.886887,-1.577564,,,-1.577590,ros2_odometer_state
M24G_CORE_S2_marble_floor_V045_R3,M24G_CORE_S2_marble_floor_V045,direct_refresh_controlled,0.450,0.450,1746.522556,1.147,idle,-0.124193,12.886887,-1.577564,,,-1.577592,ros2_odometer_state
M24G_CORE_S2_marble_floor_V045_R3,M24G_CORE_S2_marble_floor_V045,direct_refresh_controlled,0.450,0.450,1746.524085,1.148,idle,-0.124193,12.886887,-1.577564,,,-1.577596,ros2_odometer_state
M24G_CORE_S2_marble_floor_V045_R3,M24G_CORE_S2_marble_floor_V045,direct_refresh_controlled,0.450,0.450,1746.524395,1.149,idle,-0.124193,12.886887,-1.577564,,,-1.577596,ros2_odometer_state
M24G_CORE_S2_marble_floor_V045_R3,M24G_CORE_S2_marble_floor_V045,direct_refresh_controlled,0.450,0.450,1746.526263,1.151,idle,-0.124193,12.886887,-1.577564,,,-1.577599,ros2_odometer_state
M24G_CORE_S2_marble_floor_V045_R3,M24G_CORE_S2_marble_floor_V045,direct_refresh_controlled,0.450,0.450,1746.526627,1.151,idle,-0.124193,12.886887,-1.577564,,,-1.577599,ros2_odometer_state
M24G_CORE_S2_marble_floor_V045_R3,M24G_CORE_S2_marble_floor_V045,direct_refresh_controlled,0.450,0.450,1746.528239,1.152,idle,-0.124193,12.886887,-1.577564,,,-1.577604,ros2_odometer_state
M24G_CORE_S2_marble_floor_V045_R3,M24G_CORE_S2_marble_floor_V045,direct_refresh_controlled,0.450,0.450,1746.528574,1.153,idle,-0.124193,12.886887,-1.577564,,,-1.577604,ros2_odometer_state
M24G_CORE_S2_marble_floor_V045_R3,M24G_CORE_S2_marble_floor_V045,direct_refresh_controlled,0.450,0.450,1746.529769,1.154,idle,-0.125009,12.886892,-1.577604,,,-1.577604,ros2_odometer_state
M24G_CORE_S2_marble_floor_V045_R3,M24G_CORE_S2_marble_floor_V045,direct_refresh_controlled,0.450,0.450,1746.530502,1.155,idle,-0.125009,12.886892,-1.577604,,,-1.577611,ros2_odometer_state
M24G_CORE_S2_marble_floor_V045_R3,M24G_CORE_S2_marble_floor_V045,direct_refresh_controlled,0.450,0.450,1746.531768,1.156,idle,-0.125009,12.886892,-1.577604,,,-1.577611,ros2_odometer_state
M24G_CORE_S2_marble_floor_V045_R3,M24G_CORE_S2_marble_floor_V045,direct_refresh_controlled,0.450,0.450,1746.532497,1.157,idle,-0.125009,12.886892,-1.577604,,,-1.577623,ros2_odometer_state
M24G_CORE_S2_marble_floor_V045_R3,M24G_CORE_S2_marble_floor_V045,direct_refresh_controlled,0.450,0.450,1746.534278,1.159,idle,-0.125009,12.886892,-1.577604,,,-1.577623,ros2_odometer_state
M24G_CORE_S2_marble_floor_V045_R3,M24G_CORE_S2_marble_floor_V045,direct_refresh_controlled,0.450,0.450,1746.534879,1.159,idle,-0.125009,12.886892,-1.577604,,,-1.577635,ros2_odometer_state
M24G_CORE_S2_marble_floor_V045_R3,M24G_CORE_S2_marble_floor_V045,direct_refresh_controlled,0.450,0.450,1746.536162,1.160,idle,-0.125009,12.886892,-1.577604,,,-1.577642,ros2_odometer_state
M24G_CORE_S2_marble_floor_V045_R3,M24G_CORE_S2_marble_floor_V045,direct_refresh_controlled,0.450,0.450,1746.536488,1.161,idle,-0.125009,12.886892,-1.577604,,,-1.577642,ros2_odometer_state
