trial_id,refresh_group_id,session_id,surface,desired_velocity_mps,condition,command_velocity_mps,state_log_path,valid,invalid_reason,timestamp,physical_run_status,notes
M24A_S2_marble_floor_V050_R1,M24A_S2_marble_floor_V050,m24b_s2_profile_refresh_clean_20260612_145358,S2_marble_floor,0.50,direct_refresh,0.50,data/compensation_experiments/m24b_s2_profile_refresh/m24b_s2_profile_refresh_clean_20260612_145358/state_logs/M24A_S2_marble_floor_V050_R1.csv,true,,2026-06-12T06:59:32.007088+00:00,executed,logger_rc=0; sdk_rc=0
M24A_S2_marble_floor_V050_R2,M24A_S2_marble_floor_V050,m24b_s2_profile_refresh_clean_20260612_145358,S2_marble_floor,0.50,direct_refresh,0.50,data/compensation_experiments/m24b_s2_profile_refresh/m24b_s2_profile_refresh_clean_20260612_145358/state_logs/M24A_S2_marble_floor_V050_R2.csv,true,,2026-06-12T06:59:50.510124+00:00,executed,logger_rc=0; sdk_rc=0
M24A_S2_marble_floor_V050_R3,M24A_S2_marble_floor_V050,m24b_s2_profile_refresh_clean_20260612_145358,S2_marble_floor,0.50,direct_refresh,0.50,data/compensation_experiments/m24b_s2_profile_refresh/m24b_s2_profile_refresh_clean_20260612_145358/state_logs/M24A_S2_marble_floor_V050_R3.csv,true,,2026-06-12T07:00:25.643589+00:00,executed,logger_rc=0; sdk_rc=0
M24A_S2_marble_floor_V050_R4,M24A_S2_marble_floor_V050,m24b_s2_profile_refresh_clean_20260612_145358,S2_marble_floor,0.50,direct_refresh,0.50,data/compensation_experiments/m24b_s2_profile_refresh/m24b_s2_profile_refresh_clean_20260612_145358/state_logs/M24A_S2_marble_floor_V050_R4.csv,true,,2026-06-12T07:00:42.191728+00:00,executed,logger_rc=0; sdk_rc=0
M24A_S2_marble_floor_V050_R5,M24A_S2_marble_floor_V050,m24b_s2_profile_refresh_clean_20260612_145358,S2_marble_floor,0.50,direct_refresh,0.50,data/compensation_experiments/m24b_s2_profile_refresh/m24b_s2_profile_refresh_clean_20260612_145358/state_logs/M24A_S2_marble_floor_V050_R5.csv,true,,2026-06-12T07:00:59.121744+00:00,executed,logger_rc=0; sdk_rc=0
M24A_S2_marble_floor_V055_R1,M24A_S2_marble_floor_V055,m24b_s2_profile_refresh_clean_20260612_145358,S2_marble_floor,0.55,direct_refresh,0.55,data/compensation_experiments/m24b_s2_profile_refresh/m24b_s2_profile_refresh_clean_20260612_145358/state_logs/M24A_S2_marble_floor_V055_R1.csv,true,,2026-06-12T07:01:19.912394+00:00,executed,logger_rc=0; sdk_rc=0
M24A_S2_marble_floor_V055_R2,M24A_S2_marble_floor_V055,m24b_s2_profile_refresh_clean_20260612_145358,S2_marble_floor,0.55,direct_refresh,0.55,data/compensation_experiments/m24b_s2_profile_refresh/m24b_s2_profile_refresh_clean_20260612_145358/state_logs/M24A_S2_marble_floor_V055_R2.csv,true,,2026-06-12T07:02:19.674103+00:00,executed,logger_rc=0; sdk_rc=0
M24A_S2_marble_floor_V055_R3,M24A_S2_marble_floor_V055,m24b_s2_profile_refresh_clean_20260612_145358,S2_marble_floor,0.55,direct_refresh,0.55,data/compensation_experiments/m24b_s2_profile_refresh/m24b_s2_profile_refresh_clean_20260612_145358/state_logs/M24A_S2_marble_floor_V055_R3.csv,true,,2026-06-12T07:02:41.659343+00:00,executed,logger_rc=0; sdk_rc=0
M24A_S2_marble_floor_V055_R4,M24A_S2_marble_floor_V055,m24b_s2_profile_refresh_clean_20260612_145358,S2_marble_floor,0.55,direct_refresh,0.55,data/compensation_experiments/m24b_s2_profile_refresh/m24b_s2_profile_refresh_clean_20260612_145358/state_logs/M24A_S2_marble_floor_V055_R4.csv,true,,2026-06-12T07:02:59.575342+00:00,executed,logger_rc=0; sdk_rc=0
M24A_S2_marble_floor_V055_R5,M24A_S2_marble_floor_V055,m24b_s2_profile_refresh_clean_20260612_145358,S2_marble_floor,0.55,direct_refresh,0.55,data/compensation_experiments/m24b_s2_profile_refresh/m24b_s2_profile_refresh_clean_20260612_145358/state_logs/M24A_S2_marble_floor_V055_R5.csv,true,,2026-06-12T07:03:29.462139+00:00,executed,logger_rc=0; sdk_rc=0
M24A_S2_marble_floor_V060_R1,M24A_S2_marble_floor_V060,m24b_s2_profile_refresh_clean_20260612_145358,S2_marble_floor,0.60,direct_refresh,0.60,data/compensation_experiments/m24b_s2_profile_refresh/m24b_s2_profile_refresh_clean_20260612_145358/state_logs/M24A_S2_marble_floor_V060_R1.csv,true,,2026-06-12T07:03:50.583472+00:00,executed,logger_rc=0; sdk_rc=0
M24A_S2_marble_floor_V060_R2,M24A_S2_marble_floor_V060,m24b_s2_profile_refresh_clean_20260612_145358,S2_marble_floor,0.60,direct_refresh,0.60,data/compensation_experiments/m24b_s2_profile_refresh/m24b_s2_profile_refresh_clean_20260612_145358/state_logs/M24A_S2_marble_floor_V060_R2.csv,true,,2026-06-12T07:04:44.527133+00:00,executed,logger_rc=0; sdk_rc=0
M24A_S2_marble_floor_V060_R3,M24A_S2_marble_floor_V060,m24b_s2_profile_refresh_clean_20260612_145358,S2_marble_floor,0.60,direct_refresh,0.60,data/compensation_experiments/m24b_s2_profile_refresh/m24b_s2_profile_refresh_clean_20260612_145358/state_logs/M24A_S2_marble_floor_V060_R3.csv,true,,2026-06-12T07:05:02.085844+00:00,executed,logger_rc=0; sdk_rc=0
M24A_S2_marble_floor_V060_R4,M24A_S2_marble_floor_V060,m24b_s2_profile_refresh_clean_20260612_145358,S2_marble_floor,0.60,direct_refresh,0.60,data/compensation_experiments/m24b_s2_profile_refresh/m24b_s2_profile_refresh_clean_20260612_145358/state_logs/M24A_S2_marble_floor_V060_R4.csv,true,,2026-06-12T07:05:26.903045+00:00,executed,logger_rc=0; sdk_rc=0
M24A_S2_marble_floor_V060_R5,M24A_S2_marble_floor_V060,m24b_s2_profile_refresh_clean_20260612_145358,S2_marble_floor,0.60,direct_refresh,0.60,data/compensation_experiments/m24b_s2_profile_refresh/m24b_s2_profile_refresh_clean_20260612_145358/state_logs/M24A_S2_marble_floor_V060_R5.csv,true,,2026-06-12T07:06:02.350814+00:00,executed,logger_rc=0; sdk_rc=0
